"","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Taxon","Genus","Species","Rank","Infraspecific"
"1","Ames 13142","358","Potentilla simplex Michx.","Québec, Canada","NC7",1990,"","Potentilla simplex  ","Potentilla","Potentilla simplex","",""
"2","Ames 13775","880471","Gymnocladus dioicus (L.) K. Koch","Ontario, Canada","NC7",1990,"42.12690000, -82.98390000","Gymnocladus dioicus  ","Gymnocladus","Gymnocladus dioicus","",""
"3","Ames 22819","Index Seminum 301","Anemone multifida Poir.","British Columbia, Canada","NC7",1996,"54.81666667, -127.10000000","Anemone multifida  ","Anemone","Anemone multifida","",""
"4","Ames 23761","#64","Thlaspi arvense L.","Ontario, Canada","NC7",1997,"","Thlaspi arvense  ","Thlaspi","Thlaspi arvense","",""
"5","Ames 24938","BCN 8027","Erucastrum leucanthum Coss. & Durieu","Canada","NC7",1991,"","Erucastrum leucanthum  ","Erucastrum","Erucastrum leucanthum","",""
"6","Ames 4617","86","Quercus muehlenbergii Engelm.","Ontario, Canada","NC7",1985,"","Quercus muehlenbergii  ","Quercus","Quercus muehlenbergii","",""
"7","Ames 4618","Accession No. 1985-0642Collection No. 1224","Quercus muehlenbergii Engelm.","Ontario, Canada","NC7",1985,"43.23195300, -81.89238900","Quercus muehlenbergii  ","Quercus","Quercus muehlenbergii","",""
"8","Ames 5328","Caribbean pigweed","Amaranthus retroflexus L.","Canada","NC7",1986,"","Amaranthus retroflexus  ","Amaranthus","Amaranthus retroflexus","",""
"9","CIav 2527","26-365","Avena fatua L.","Alberta, Canada","NSGC",1927,"55.00000000, -115.00000000","Avena fatua  ","Avena","Avena fatua","",""
"10","CIav 2528","25-65","Avena  hybr.","Alberta, Canada","NSGC",1927,"55.00000000, -115.00000000","Avena hybr.  ","Avena","Avena hybr.","",""
"11","CIav 2529","27-696","Avena fatua L.","Ontario, Canada","NSGC",1927,"50.00000000, -86.00000000","Avena fatua  ","Avena","Avena fatua","",""
"12","CIav 9016","CD 2321","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"13","CIav 9018","CD 3078","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"14","CIav 9039","CD 7913","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"15","CIav 9042","CD 7920","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"16","CIav 9053","CD 8024","Avena wiestii Steud.","Ontario, Canada","NSGC",1970,"","Avena wiestii  ","Avena","Avena wiestii","",""
"17","CIav 9057","CD 8079","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"18","CIav 9058","CD 8080","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"19","CIav 9059","CD 8081","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"20","CIav 9060","CD 8082","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"21","CIav 9061","CD 8083","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"22","CIav 9062","CD 8084","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"23","CIav 9067","CD 8168","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"24","CIav 9068","CD 8169B","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"25","CIav 9069","CD 8170","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"26","CIav 9070","CD 8171","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1970,"","Avena barbata  ","Avena","Avena barbata","",""
"27","CIav 9072","CD 8263","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"28","CIav 9073","CD 8264","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"29","CIav 9074","CD 8265","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"30","CIav 9075","CD 8266","Avena sterilis L.","Ontario, Canada","NSGC",1970,"","Avena sterilis  ","Avena","Avena sterilis","",""
"31","CIav 9117","4 VC","Avena sterilis L.","Ontario, Canada","NSGC",1971,"","Avena sterilis  ","Avena","Avena sterilis","",""
"32","CIav 9118","5 VC","Avena sterilis L.","Ontario, Canada","NSGC",1971,"","Avena sterilis  ","Avena","Avena sterilis","",""
"33","CIav 9119","6 VB","Avena sterilis L.","Ontario, Canada","NSGC",1971,"","Avena sterilis  ","Avena","Avena sterilis","",""
"34","CIav 9120","WPG 2498","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1971,"","Avena barbata  ","Avena","Avena barbata","",""
"35","CIav 9121","WPG 2502","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1971,"","Avena barbata  ","Avena","Avena barbata","",""
"36","CIav 9122","WPG 2503","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1971,"","Avena barbata  ","Avena","Avena barbata","",""
"37","CIav 9123","WPG 2504","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1971,"","Avena barbata  ","Avena","Avena barbata","",""
"38","CIav 9124","WPG 2506","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1971,"","Avena barbata  ","Avena","Avena barbata","",""
"39","CIav 9125","D203","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1971,"","Avena barbata  ","Avena","Avena barbata","",""
"40","CIav 9127","Calif. 1953","Avena barbata Pott ex Link","Ontario, Canada","NSGC",1971,"","Avena barbata  ","Avena","Avena barbata","",""
"41","CIho 15728","GBC 222","Hordeum marinum Huds. subsp. gussoneanum (Parl.) Thell.","Ontario, Canada","NSGC",1977,"","Hordeum marinum Subsp. gussoneanum","Hordeum","Hordeum marinum","Subsp.","gussoneanum"
"42","CIho 15729","GBC 225","Hordeum murinum L.","Ontario, Canada","NSGC",1977,"","Hordeum murinum  ","Hordeum","Hordeum murinum","",""
"43","NA 52761","2352E","Viburnum rafinesqueanum Schult.","Ontario, Canada",NA,1984,"41.76990100, -82.65129100","Viburnum rafinesqueanum  ","Viburnum","Viburnum rafinesqueanum","",""
"44","NA 61988","NA 61988","Ilex verticillata (L.) A. Gray","Ontario, Canada",NA,1990,"42.60000000, -81.90000000","Ilex verticillata  ","Ilex","Ilex verticillata","",""
"45","NA 61989","NA 61989","Ilex verticillata (L.) A. Gray","Ontario, Canada",NA,1990,"43.10000000, -79.15000000","Ilex verticillata  ","Ilex","Ilex verticillata","",""
"46","NA 62999","Index Seminum 79","Celtis pumila Pursh","Ontario, Canada",NA,1984,"43.21666667, -81.91666667","Celtis pumila  ","Celtis","Celtis pumila","",""
"47","PI 234681","W6 6907","Agrostis scabra Willd.","Alberta, Canada","W6",1956,"","Agrostis scabra  ","Agrostis","Agrostis scabra","",""
"48","PI 234683","","Hordeum jubatum L.","British Columbia, Canada","NSGC",1956,"49.50000000, 115.06666670","Hordeum jubatum  ","Hordeum","Hordeum jubatum","",""
"49","PI 236663","","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould","Canada","W6",1957,"","Elymus lanceolatus  ","Elymus","Elymus lanceolatus","",""
"50","PI 236664","","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould","Canada","W6",1957,"","Elymus lanceolatus  ","Elymus","Elymus lanceolatus","",""
"51","PI 236665","","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould","Canada","W6",1957,"","Elymus lanceolatus  ","Elymus","Elymus lanceolatus","",""
"52","PI 236666","","Elymus lanceolatus (Scribn. & J. G. Sm.) Gould","Canada","W6",1957,"","Elymus lanceolatus  ","Elymus","Elymus lanceolatus","",""
"53","PI 236668","","Pseudoroegneria spicata (Pursh) Á. Löve","British Columbia, Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"54","PI 236669","","Pseudoroegneria spicata (Pursh) Á. Löve","British Columbia, Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"55","PI 236670","","Pseudoroegneria spicata (Pursh) Á. Löve","British Columbia, Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"56","PI 236671","","Pseudoroegneria spicata (Pursh) Á. Löve","British Columbia, Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"57","PI 236672","","Pseudoroegneria spicata (Pursh) Á. Löve","British Columbia, Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"58","PI 236673","","Elymus violaceus (Hornem.) Feilberg","Canada","W6",1957,"","Elymus violaceus  ","Elymus","Elymus violaceus","",""
"59","PI 236675","","Elymus violaceus (Hornem.) Feilberg","Canada","W6",1957,"","Elymus violaceus  ","Elymus","Elymus violaceus","",""
"60","PI 236676","","Agropyron  hybr.","Canada","W6",1957,"","Agropyron hybr.  ","Agropyron","Agropyron hybr.","",""
"61","PI 236677","","Pascopyrum smithii (Rydb.) Barkworth & D. R. Dewey","Canada","W6",1957,"","Pascopyrum smithii  ","Pascopyrum","Pascopyrum smithii","",""
"62","PI 236678","","Pascopyrum smithii (Rydb.) Barkworth & D. R. Dewey","Canada","W6",1957,"","Pascopyrum smithii  ","Pascopyrum","Pascopyrum smithii","",""
"63","PI 236681","","Pseudoroegneria spicata (Pursh) Á. Löve","Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"64","PI 236682","","Pseudoroegneria spicata (Pursh) Á. Löve","Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"65","PI 236683","","Pseudoroegneria spicata (Pursh) Á. Löve","Canada","W6",1957,"","Pseudoroegneria spicata  ","Pseudoroegneria","Pseudoroegneria spicata","",""
"66","PI 236684","","Elymus trachycaulus (Link) Gould subsp. subsecundus (Link) Á. Löve & D. Löve","Canada","W6",1957,"","Elymus trachycaulus Subsp. subsecundus","Elymus","Elymus trachycaulus","Subsp.","subsecundus"
"67","PI 236685","","Elymus trachycaulus (Link) Gould subsp. subsecundus (Link) Á. Löve & D. Löve","Canada","W6",1957,"","Elymus trachycaulus Subsp. subsecundus","Elymus","Elymus trachycaulus","Subsp.","subsecundus"
"68","PI 236687","","Elymus trachycaulus (Link) Gould subsp. subsecundus (Link) Á. Löve & D. Löve","Canada","W6",1957,"","Elymus trachycaulus Subsp. subsecundus","Elymus","Elymus trachycaulus","Subsp.","subsecundus"
"69","PI 236688","","Elymus trachycaulus (Link) Gould subsp. subsecundus (Link) Á. Löve & D. Löve","Canada","W6",1957,"","Elymus trachycaulus Subsp. subsecundus","Elymus","Elymus trachycaulus","Subsp.","subsecundus"
"70","PI 236689","","Elymus trachycaulus (Link) Gould subsp. subsecundus (Link) Á. Löve & D. Löve","Canada","W6",1957,"","Elymus trachycaulus Subsp. subsecundus","Elymus","Elymus trachycaulus","Subsp.","subsecundus"
