TAXON,GENUS,SPECIES,RANK,verbatimScientificName,INFRASPECIFIC,PROVINCE
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Ontario
Rubus canadensis,Rubus,Rubus canadensis,,Rubus canadensis,,Prince Edward Island
Tilia americana,Tilia,Tilia americana,,Tilia americana,,Manitoba
Sium suave,Sium,Sium suave,,Sium suave,,British Columbia
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,Schizachyrium scoparium,,Manitoba
Thuja occidentalis,Thuja,Thuja occidentalis,,Thuja occidentalis,,Manitoba
Thuja occidentalis,Thuja,Thuja occidentalis,,Thuja occidentalis,,Nova Scotia
Ulmus thomasii,Ulmus,Ulmus thomasii,,Ulmus thomasii,,Ontario
Sium suave,Sium,Sium suave,,Sium suave,,Yukon
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,Ontario
Urtica dioica,Urtica,Urtica dioica,,Urtica dioica,,Quebec
Rubus occidentalis,Rubus,Rubus occidentalis,,Rubus occidentalis,,Quebec
Trifolium willdenovii,Trifolium,Trifolium willdenovii,,Trifolium willdenovii,,British Columbia
Sorbus americana,Sorbus,Sorbus americana,,Sorbus americana,,New Brunswick
Rubus idaeus,Rubus,Rubus idaeus,,Rubus idaeus,,Saskatchewan
Sorbus scopulina,Sorbus,Sorbus scopulina,,Sorbus scopulina,,Alberta
Trifolium microcephalum,Trifolium,Trifolium microcephalum,,Trifolium microcephalum,,British Columbia
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,British Columbia
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Quebec
Rubus idaeus,Rubus,Rubus idaeus,,Rubus idaeus,,Yukon
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Alberta
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,Schizachyrium scoparium,,Saskatchewan
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,Urtica dioica dioica,dioica,Ontario
Symphoricarpos albus,Symphoricarpos,Symphoricarpos albus,,Symphoricarpos albus,,Manitoba
Tsuga heterophylla,Tsuga,Tsuga heterophylla,,Tsuga heterophylla,,Alberta
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,Ontario
Salix pulchra,Salix,Salix pulchra,,Salix pulchra,,Northwest Territories
Sambucus canadensis,Sambucus,Sambucus canadensis,,Sambucus canadensis,,Nova Scotia
Urtica dioica,Urtica,Urtica dioica,,Urtica dioica,,Yukon
Salix scouleriana,Salix,Salix scouleriana,,Salix scouleriana,,Alberta
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Saskatchewan
Sorbus americana,Sorbus,Sorbus americana,,Sorbus americana,,Ontario
Sorbus decora,Sorbus,Sorbus decora,,Sorbus decora,,Nova Scotia
Sambucus canadensis,Sambucus,Sambucus canadensis,,Sambucus canadensis,,Prince Edward Island
Rubus idaeus,Rubus,Rubus idaeus,,Rubus idaeus,,Northwest Territories
Typha latifolia,Typha,Typha latifolia,,Typha latifolia,,Saskatchewan
Tradescantia virginiana,Tradescantia,Tradescantia virginiana,,Tradescantia virginiana,,Ontario
Vaccinium angustifolium,Vaccinium,Vaccinium angustifolium,,Vaccinium angustifolium,,Prince Edward Island
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Alberta
Sium suave,Sium,Sium suave,,Sium suave,,Quebec
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,British Columbia
Silphium perfoliatum,Silphium,Silphium perfoliatum,,Silphium perfoliatum,,Quebec
Sorbus decora,Sorbus,Sorbus decora,,Sorbus decora,,New Brunswick
Vaccinium angustifolium,Vaccinium,Vaccinium angustifolium,,Vaccinium angustifolium,,Manitoba
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,Northwest Territories
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Yukon
Shepherdia canadensis,Shepherdia,Shepherdia canadensis,,Shepherdia canadensis,,Nova Scotia
Sorbus decora,Sorbus,Sorbus decora,,Sorbus decora,,Quebec
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,Schizachyrium scoparium,,Quebec
Salix exigua,Salix,Salix exigua,,Salix exigua,,Ontario
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,Schizachyrium scoparium,,Alberta
Sorbus scopulina,Sorbus,Sorbus scopulina,,Sorbus scopulina,,British Columbia
Sorbus scopulina,Sorbus,Sorbus scopulina,,Sorbus scopulina,,Yukon
Ulmus americana,Ulmus,Ulmus americana,,Ulmus americana,,Prince Edward Island
Sambucus canadensis,Sambucus,Sambucus canadensis,,Sambucus canadensis,,Quebec
Rubus idaeus,Rubus,Rubus idaeus,,Rubus idaeus,,Newfoundland and Labrador
Sagittaria latifolia,Sagittaria,Sagittaria latifolia,,Sagittaria latifolia,,Manitoba
Sium suave,Sium,Sium suave,,Sium suave,,Northwest Territories
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,Quebec
Rumex occidentalis,Rumex,Rumex occidentalis,,Rumex occidentalis,,Northwest Territories
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,Saskatchewan
Ulmus americana,Ulmus,Ulmus americana,,Ulmus americana,,Saskatchewan
Shepherdia canadensis,Shepherdia,Shepherdia canadensis,,Shepherdia canadensis,,Nunavut
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,Nunavut
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,Quebec
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Northwest Territories
Sorbus americana,Sorbus,Sorbus americana,,Sorbus americana,,Newfoundland and Labrador
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,Ontario
Taxus canadensis,Taxus,Taxus canadensis,,Taxus canadensis,,Newfoundland and Labrador
Ulmus thomasii,Ulmus,Ulmus thomasii,,Ulmus thomasii,,Quebec
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,Quebec
Salix planifolia,Salix,Salix planifolia,,Salix planifolia,,Ontario
Rubus odoratus,Rubus,Rubus odoratus,,Rubus odoratus,,Nova Scotia
Taxus canadensis,Taxus,Taxus canadensis,,Taxus canadensis,,Manitoba
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,Alberta
Typha latifolia,Typha,Typha latifolia,,Typha latifolia,,Yukon
Rumex occidentalis,Rumex,Rumex occidentalis,,Rumex occidentalis,,Yukon
Rubus nivalis,Rubus,Rubus nivalis,,Rubus nivalis,,British Columbia
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,Yukon
Thuja occidentalis,Thuja,Thuja occidentalis,,Thuja occidentalis,,Alberta
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,New Brunswick
Silphium integrifolium,Silphium,Silphium integrifolium,,Silphium integrifolium,,Ontario
Salix arctica,Salix,Salix arctica,,Salix arctica,,Quebec
Salix planifolia,Salix,Salix planifolia,,Salix planifolia,,Manitoba
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Manitoba
Tilia americana,Tilia,Tilia americana,,Tilia americana,,Nova Scotia
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Yukon
Sambucus canadensis,Sambucus,Sambucus canadensis,,Sambucus canadensis,,New Brunswick
Rubus canadensis,Rubus,Rubus canadensis,,Rubus canadensis,,Nova Scotia
Sambucus racemosa,Sambucus,Sambucus racemosa,,Sambucus racemosa,,Saskatchewan
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Newfoundland and Labrador
Salix arctica,Salix,Salix arctica,,Salix arctica,,Yukon
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Quebec
Typha latifolia,Typha,Typha latifolia,,Typha latifolia Linnaeus,,Northwest Territories
Typha latifolia,Typha,Typha latifolia,,Typha latifolia,,Prince Edward Island
Urtica dioica,Urtica,Urtica dioica,,Urtica dioica,,Newfoundland and Labrador
Sorbus sitchensis var. sitchensis,Sorbus,Sorbus sitchensis,var.,Sorbus sitchensis sitchensis,sitchensis,British Columbia
Silphium perfoliatum,Silphium,Silphium perfoliatum,,Silphium perfoliatum,,Nova Scotia
Sium suave,Sium,Sium suave,,Sium suave,,Saskatchewan
Sambucus racemosa,Sambucus,Sambucus racemosa,,Sambucus racemosa,,Prince Edward Island
Sium suave,Sium,Sium suave,,Sium suave,,New Brunswick
Shepherdia canadensis,Shepherdia,Shepherdia canadensis,,Shepherdia canadensis,,Newfoundland and Labrador
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,Saskatchewan
Sagittaria latifolia,Sagittaria,Sagittaria latifolia,,Sagittaria latifolia,,Alberta
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Manitoba
Salix scouleriana,Salix,Salix scouleriana,,Salix scouleriana,,Yukon
Typha latifolia,Typha,Typha latifolia,,Typha latifolia,,Newfoundland and Labrador
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,British Columbia
Sambucus racemosa,Sambucus,Sambucus racemosa,,Sambucus racemosa,,Newfoundland and Labrador
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,Quebec
Shepherdia canadensis,Shepherdia,Shepherdia canadensis,,Shepherdia canadensis,,New Brunswick
Sium suave,Sium,Sium suave,,Sium suave,,Manitoba
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Nunavut
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,Manitoba
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima L.,,Newfoundland and Labrador
Trifolium depauperatum,Trifolium,Trifolium depauperatum,,Trifolium depauperatum,,British Columbia
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Newfoundland and Labrador
Trifolium cyathiferum,Trifolium,Trifolium cyathiferum,,Trifolium cyathiferum,,British Columbia
Symphoricarpos albus var. albus,Symphoricarpos,Symphoricarpos albus,var.,Symphoricarpos albus albus,albus,Ontario
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,Nova Scotia
Rubus odoratus,Rubus,Rubus odoratus,,Rubus odoratus,,New Brunswick
Salix pulchra,Salix,Salix pulchra,,Salix pulchra,,Yukon
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,New Brunswick
Rubus chamaemorus,Rubus,Rubus chamaemorus,,Rubus chamaemorus,,Prince Edward Island
Rubus flagellaris,Rubus,Rubus flagellaris,,Rubus flagellaris,,Ontario
Salix lucida,Salix,Salix lucida,,Salix lasiandra,,Yukon
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,Yukon
Sagittaria latifolia,Sagittaria,Sagittaria latifolia,,Sagittaria latifolia,,Saskatchewan
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,Northwest Territories
Triglochin maritima,Triglochin,Triglochin maritima,,Triglochin maritima,,Prince Edward Island
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,Saskatchewan
Salix planifolia,Salix,Salix planifolia,,Salix planifolia,,Yukon
Salix arctica,Salix,Salix arctica,,Salix arctica,,Northwest Territories
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,Rubus pensilvanicus,,Nova Scotia
Urtica dioica,Urtica,Urtica dioica,,Urtica dioica,,New Brunswick
Urtica dioica,Urtica,Urtica dioica,,Urtica dioica,,Prince Edward Island
Salix scouleriana,Salix,Salix scouleriana,,Salix scouleriana,,Northwest Territories
Salix barclayi,Salix,Salix barclayi,,Salix barclayi,,Yukon
Sagittaria latifolia,Sagittaria,Sagittaria latifolia,,Sagittaria latifolia,,Prince Edward Island
Trifolium variegatum,Trifolium,Trifolium variegatum,,Trifolium variegatum,,British Columbia
Ulmus americana,Ulmus,Ulmus americana,,Ulmus americana,,Alberta
Sambucus racemosa,Sambucus,Sambucus racemosa,,Sambucus racemosa,,Manitoba
Rubus occidentalis,Rubus,Rubus occidentalis,,Rubus occidentalis,,Nova Scotia
Thuja plicata,Thuja,Thuja plicata,,Thuja plicata,,Alberta
Taxus brevifolia,Taxus,Taxus brevifolia,,Taxus brevifolia,,Alberta
Urtica dioica,Urtica,Urtica dioica,,Urtica dioica,,Northwest Territories
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,British Columbia
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,Rubus pensilvanicus,,New Brunswick
Trifolium microdon,Trifolium,Trifolium microdon,,Trifolium microdon,,British Columbia
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Ontario
Thuja occidentalis,Thuja,Thuja occidentalis,,Thuja occidentalis,,Saskatchewan
Rubus nutkanus,Rubus,Rubus nutkanus,,Rubus parviflorus Nutt.,,Alberta
Symphoricarpos albus,Symphoricarpos,Symphoricarpos albus,,Symphoricarpos albus,,Newfoundland and Labrador
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,New Brunswick
Rubus canadensis,Rubus,Rubus canadensis,,Rubus canadensis,,Newfoundland and Labrador
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,Prince Edward Island
Sorbus americana,Sorbus,Sorbus americana,,Sorbus americana,,Prince Edward Island
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,New Brunswick
Rubus canadensis,Rubus,Rubus canadensis,,Rubus canadensis,,New Brunswick
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,Nova Scotia
Rubus canadensis,Rubus,Rubus canadensis,,Rubus canadensis,,Quebec
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus acutus,acutus,New Brunswick
Rubus canadensis,Rubus,Rubus canadensis,,Rubus canadensis,,Ontario
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,Prince Edward Island
Salix arctophila,Salix,Salix arctophila,,Salix arctophila,,Ontario
Salix exigua,Salix,Salix exigua,,Salix exigua Nuttall,,Quebec
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,Prince Edward Island
Salix pulchra,Salix,Salix pulchra,,Salix pulchra,,British Columbia
Salix arctophila,Salix,Salix arctophila,,Salix arctophila,,Newfoundland and Labrador
Salix arctica,Salix,Salix arctica,,Salix arctica,,Newfoundland and Labrador
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,Saskatchewan
Salix planifolia,Salix,Salix planifolia,,Salix planifolia,,Newfoundland and Labrador
Sorbus decora,Sorbus,Sorbus decora,,Sorbus decora,,Newfoundland and Labrador
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,Newfoundland and Labrador
Rubus occidentalis,Rubus,Rubus occidentalis,,Rubus occidentalis,,New Brunswick
Trifolium oliganthum,Trifolium,Trifolium oliganthum,,Trifolium oliganthum,,British Columbia
Salix planifolia,Salix,Salix planifolia,,Salix planifolia Pursh,,Alberta
Rumex occidentalis,Rumex,Rumex occidentalis,,Rumex occidentalis,,Ontario
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,Symphoricarpos albus laevigatus,laevigatus,Ontario
Salix arctophila,Salix,Salix arctophila,,Salix arctophila,,Nunavut
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Northwest Territories
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,Urtica dioica dioica,dioica,Quebec
Sorbus sitchensis var. grayi,Sorbus,Sorbus sitchensis,var.,Sorbus sitchensis grayi,grayi,British Columbia
Rubus lasiococcus,Rubus,Rubus lasiococcus,,Rubus lasiococcus,,British Columbia
Symphoricarpos albus var. albus,Symphoricarpos,Symphoricarpos albus,var.,Symphoricarpos albus albus,albus,British Columbia
Salix arctica,Salix,Salix arctica,,Salix arctica,,Ontario
Salix exigua,Salix,Salix exigua,,Salix exigua,,Alberta
Ulmus americana,Ulmus,Ulmus americana,,Ulmus americana,,British Columbia
Spiraea douglasii,Spiraea,Spiraea douglasii,,Spiraea douglasii,,Quebec
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,Rubus pensilvanicus Poir.,,Ontario
Schoenoplectus acutus var. occidentalis,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus var. occidentalis (Muhl. ex Bigelow) Á.Löve & D.Löve,occidentalis,British Columbia
Symphoricarpos albus,Symphoricarpos,Symphoricarpos albus,,Symphoricarpos albus,,Prince Edward Island
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,Urtica dioica dioica,dioica,Prince Edward Island
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus acutus,acutus,Ontario
Tilia americana,Tilia,Tilia americana,,Tilia americana,,Alberta
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,Manitoba
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,Rubus idaeus strigosus,strigosus,New Brunswick
Tradescantia virginiana,Tradescantia,Tradescantia virginiana,,Tradescantia virginiana,,British Columbia
Trifolium depauperatum var. depauperatum,Trifolium,Trifolium depauperatum,var.,Trifolium depauperatum depauperatum,depauperatum,British Columbia
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,Schizachyrium scoparium,,British Columbia
Salix arctophila,Salix,Salix arctophila,,Salix arctophila,,Northwest Territories
Salix arctophila,Salix,Salix arctophila,,Salix arctophila Cockerell ex Heller,,Quebec
Salix planifolia,Salix,Salix planifolia,,Salix planifolia,,Northwest Territories
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,Urtica dioica L. subsp. dioica,dioica,Newfoundland and Labrador
Trifolium cyathiferum,Trifolium,Trifolium cyathiferum,,Trifolium cyathiferum Lindley,,Yukon
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,Urtica dioica dioica,dioica,Nova Scotia
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,Schizachyrium scoparium,,New Brunswick
Salix planifolia,Salix,Salix planifolia,,Salix planifolia,,British Columbia
Sorbus americana,Sorbus,Sorbus americana,,Sorbus pumila,,British Columbia
Rubus nutkanus,Rubus,Rubus nutkanus,,Rubus parviflorus,,British Columbia
Salix barclayi,Salix,Salix barclayi,,Salix barclayi Andersson,,Alberta
Salix richardsonii,Salix,Salix richardsonii,,Salix richardsonii,,Northwest Territories
Salix richardsonii,Salix,Salix richardsonii,,Salix richardsonii,,Nunavut
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,Symphoricarpos albus var. laevigatus,laevigatus,British Columbia
Salix lucida,Salix,Salix lucida,,Salix lasiandra,,Alberta
Salix lucida,Salix,Salix lucida,,Salix lasiandra,,Northwest Territories
Salix barclayi,Salix,Salix barclayi,,Salix barclayi,,Northwest Territories
Salix barclayi,Salix,Salix barclayi,,Salix barclayi,,British Columbia
Rubus flagellaris,Rubus,Rubus flagellaris,,Rubus flagellaris,,Nova Scotia
Rumex occidentalis,Rumex,Rumex occidentalis,,Rumex occidentalis S. Wats.,,Manitoba
Salix planifolia,Salix,Salix planifolia,,Salix planifolia Pursh,,Nunavut
Salix exigua,Salix,Salix exigua,,Salix exigua,,New Brunswick
Tsuga canadensis,Tsuga,Tsuga canadensis,,Picea canadensis,,British Columbia
Salix pulchra,Salix,Salix pulchra,,Salix pulchra,,Nunavut
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus,,Northwest Territories
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus (Muhl. ex Bigelow) A. Love & D. Love var. acutus,acutus,British Columbia
Spiraea douglasii var. menziesii,Spiraea,Spiraea douglasii,var.,Spiraea douglasii Hook. var. menziesii (Hook.) C. Presl,menziesii,Yukon
Spiraea douglasii var. menziesii,Spiraea,Spiraea douglasii,var.,Spiraea douglasii Hook. var. menziesii (Hook.) C. Presl,menziesii,British Columbia
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,Rubus pensilvanicus Poir.,,British Columbia
Salix richardsonii,Salix,Salix richardsonii,,Salix richardsonii Hook.,,Yukon
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,Schoenoplectus acutus (Muhl. ex Bigelow) A. Love & D. Love,,Yukon
Salix exigua,Salix,Salix exigua,,Salix exigua Nutt.,,Yukon
Tilia americana,Tilia,Tilia americana,,Tilia americana L.,,British Columbia
Salix lucida subsp. lasiandra,Salix,Salix lucida,subsp.,Salix lasiandra Benth. subsp. lasiandra,lasiandra,Northwest Territories
Rumex occidentalis,Rumex,Rumex occidentalis,,Rumex occidentalis S. Wats.,,Quebec
Rumex occidentalis,Rumex,Rumex occidentalis,,Rumex occidentalis S. Wats.,,Nunavut
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus (Muhlenberg ex Bigelow) Á. Löve & D. Löve var. acutus,acutus,Newfoundland and Labrador
Salix richardsonii,Salix,Salix richardsonii,,Salix richardsonii Hook.,,British Columbia
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,Urtica dioica L. ssp. dioica,dioica,British Columbia
Salix sitchensis,Salix,Salix sitchensis,,Salix sitchensis Sanson ex Bong.,,Alberta
Rubus nutkanus,Rubus,Rubus nutkanus,,Rubus parviflorus Nutt.,,Ontario
Sedum spathulifolium var. pruinosum,Sedum,Sedum spathulifolium,var.,Sedum spathulifolium var. pruinosum (Britton) B. Boivin,pruinosum,British Columbia
Salix planifolia,Salix,Salix planifolia,,Salix planifolia Pursh,,Saskatchewan
Salix scouleriana,Salix,Salix scouleriana,,Salix scouleriana Barratt ex Hook.,,Newfoundland and Labrador
Salix scouleriana,Salix,Salix scouleriana,,Salix scouleriana Barratt ex Hook.,,Manitoba
Salix richardsonii,Salix,Salix richardsonii,,Salix richardsonii Hook.,,Quebec
Rumex occidentalis,Rumex,Rumex occidentalis,,Rumex occidentalis S.Watson,,Newfoundland and Labrador
Salix sitchensis,Salix,Salix sitchensis,,Salix sitchensis Sanson ex Bong.,,Newfoundland and Labrador
Salix arctica,Salix,Salix arctica,,Salix arctica,,Manitoba
Thuja occidentalis,Thuja,Thuja occidentalis,,Thuja occidentalis,,Newfoundland and Labrador
Sorbus americana,Sorbus,Sorbus americana,,Sorbus americana,,Manitoba
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus (Muhl. ex Bigelow) A. Love & D. Love var. acutus,acutus,Alberta
Sanicula marilandica,Sanicula,Sanicula marilandica,,Sanicula marilandica,,Newfoundland and Labrador
Sorbus sitchensis,Sorbus,Sorbus sitchensis,,Sorbus sitchensis,,Yukon
Spiraea douglasii var. douglasii,Spiraea,Spiraea douglasii,var.,Spiraea douglasii douglasii,douglasii,British Columbia
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,Symphoricarpos albus var. laevigatus (Fernald) S.F. Blake,laevigatus,Nova Scotia
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,Rubus pensilvanicus Poir.,,Prince Edward Island
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus var. acutus (Muhl. ex Bigelow) Á. Löve & D. Löve,acutus,Nova Scotia
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,Symphoricarpos albus var. laevigatus (Fernald) S.F. Blake,laevigatus,Prince Edward Island
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus var. acutus (Muhl. ex Bigelow) Á. Löve & D. Löve,acutus,Prince Edward Island
Salix scouleriana,Salix,Salix scouleriana,,Salix scouleriana,,Saskatchewan
Salix arctophila,Salix,Salix arctophila,,Salix arctophila,,Manitoba
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus var. acutus,acutus,Northwest Territories
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus var. acutus,acutus,Yukon
Salix arctophila,Salix,Salix arctophila,,Salix arctophila,,Saskatchewan
Vaccinium nubigenum,Vaccinium,Vaccinium nubigenum,,Vaccinium nubigenum,,Quebec
Salix exigua,Salix,Salix exigua,,Salix exigua,,Saskatchewan
Salix reticulata,Salix,Salix reticulata,,Salix reticulata,,Saskatchewan
Sorbus scopulina,Sorbus,Sorbus scopulina,,Sorbus scopulina,,Saskatchewan
Rubus idaeus subsp. idaeus,Rubus,Rubus idaeus,subsp.,Rubus idaeus subsp. idaeus,idaeus,Quebec
Sorbus scopulina,Sorbus,Sorbus scopulina,,Sorbus scopulina,,Northwest Territories
Sorbus decora,Sorbus,Sorbus decora,,Sorbus decora,,Saskatchewan
Salix arctophila,Salix,Salix arctophila,,Salix arctophila,,Yukon
Rubus flagellaris,Rubus,Rubus flagellaris,,Rubus flagellaris,,Quebec
Rubus pedatus,Rubus,Rubus pedatus,,Rubus pedatus,,Yukon
Sorbus decora,Sorbus,Sorbus decora,,Sorbus decora,,Manitoba
Salix exigua,Salix,Salix exigua,,Salix exigua,,Manitoba
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus var. acutus,acutus,Saskatchewan
Salix richardsonii,Salix,Salix richardsonii,,Salix richardsonii,,Manitoba
Typha latifolia,Typha,Typha latifolia,,Typha latifolia,,Nunavut
Sium suave,Sium,Sium suave,,Sium suave,,Newfoundland and Labrador
Ulmus rubra,Ulmus,Ulmus rubra,,Ulmus rubra Muhl.,,Manitoba
Rubus flagellaris,Rubus,Rubus flagellaris,,Rubus flagellaris,,New Brunswick
Salix lucida subsp. lasiandra,Salix,Salix lucida,subsp.,Salix lasiandra Bentham subsp. lasiandra,lasiandra,Yukon
Vaccinium nubigenum,Vaccinium,Vaccinium nubigenum,,Vaccinium nubigenum,,Saskatchewan
Rubus odoratus,Rubus,Rubus odoratus,,Rubus odoratus,,Newfoundland and Labrador
Tradescantia virginiana,Tradescantia,Tradescantia virginiana,,Tradescantia virginiana,,Nova Scotia
Salix sitchensis,Salix,Salix sitchensis,,Salix sitchensis Sanson ex Bong.,,Northwest Territories
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,Schoenoplectus acutus var. acutus,acutus,Quebec
Salix barclayi,Salix,Salix barclayi,,Salix conjuncta Bebb,,Manitoba
Salix lucida,Salix,Salix lucida,,Salix lasiandra Benth.,,Manitoba
Salix arctica,Salix,Salix arctica,,Salix arctica Pall.,,Saskatchewan
Sorbus sitchensis,Sorbus,Sorbus sitchensis,,Sorbus sitchensis Roemer,,Alberta
Sedum divergens,Sedum,Sedum divergens,,Sedum divergens S. Wats.,,Alberta
Salix exigua,Salix,Salix exigua,,Salix exigua Nutt.,,Northwest Territories
Thuja occidentalis,Thuja,Thuja occidentalis,,Thuja occidentalis L.,,British Columbia
Salix barclayi,Salix,Salix barclayi,,Salix barclayi Andersson,,Quebec
