TAXON,DMS,,,,,,,,,,,,
Helianthus ×laetiflorus,"46.8N, 71.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.5N, 66.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"52.1N, 106.9W",,,,,,,,,,,,
Helianthus ×laetiflorus,"53.4N, 117.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"46.7N, 64.8W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.4N, 75.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.1N, 113.9W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.1N, 113.9W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.1N, 113.9W",,,,,,,,,,,,
Helianthus ×laetiflorus,"55.0N, 120.0W",,,,,,,,,,,,
Helianthus ×laetiflorus,"50.3N, 107.8W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.2N, 98.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"51.1N, 114.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"51.1N, 114.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"53.7N, 113.2W",,,,,,,,,,,,
Helianthus ×laetiflorus,"53.6N, 113.5W",,,,,,,,,,,,
Helianthus ×laetiflorus,"48.8N, 79.2W",,,,,,,,,,,,
Helianthus ×laetiflorus,"51.1N, 114.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"51.1N, 114.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"51.1N, 114.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"51.1N, 114.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"51.1N, 114.1W",,,,,,,,,,,,
