"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"2694","Silphium perfoliatum","Silphium","Silphium perfoliatum","","","Ontario"
"2695","Vaccinium angustifolium","Vaccinium","Vaccinium angustifolium","","","Quebec"
"2696","Symphoricarpos albus","Symphoricarpos","Symphoricarpos albus","","","Nova Scotia"
"2697","Rubus idaeus","Rubus","Rubus idaeus","","","Nova Scotia"
"2698","Salix arctica","Salix","Salix arctica","","","Nunavut"
"2699","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","Alberta"
"2700","Sanicula marilandica","Sanicula","Sanicula marilandica","","","Manitoba"
"2701","Rubus chamaemorus","Rubus","Rubus chamaemorus","","","Nova Scotia"
"2702","Ulmus rubra","Ulmus","Ulmus rubra","","","Ontario"
"2703","Symphoricarpos albus","Symphoricarpos","Symphoricarpos albus","","","Alberta"
"2704","Urtica dioica","Urtica","Urtica dioica","","","Ontario"
"2705","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","Manitoba"
"2706","Sambucus racemosa","Sambucus","Sambucus racemosa","","","British Columbia"
"2707","Sium suave","Sium","Sium suave","","","Ontario"
"2708","Sedum oreganum","Sedum","Sedum oreganum","","","British Columbia"
"2709","Rubus idaeus","Rubus","Rubus idaeus","","","Alberta"
"2710","Sorbus sitchensis","Sorbus","Sorbus sitchensis","","","British Columbia"
"2711","Tsuga canadensis","Tsuga","Tsuga canadensis","","","Quebec"
"2712","Tilia americana","Tilia","Tilia americana","","","New Brunswick"
"2713","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","Ontario"
"2714","Schoenoplectus acutus","Schoenoplectus","Schoenoplectus acutus","","","Alberta"
"2715","Typha latifolia","Typha","Typha latifolia","","","Ontario"
"2716","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","Yukon"
"2717","Taxus brevifolia","Taxus","Taxus brevifolia","","","British Columbia"
"2718","Rubus idaeus","Rubus","Rubus idaeus","","","New Brunswick"
"2719","Rubus odoratus","Rubus","Rubus odoratus","","","Quebec"
"2720","Salix sitchensis","Salix","Salix sitchensis","","","British Columbia"
"2721","Urtica dioica","Urtica","Urtica dioica","","","Nova Scotia"
"2722","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","Quebec"
"2723","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","Saskatchewan"
"2724","Typha latifolia","Typha","Typha latifolia","","","Quebec"
"2725","Triglochin maritima","Triglochin","Triglochin maritima","","","Ontario"
