TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Rubus chamaemorus,Rubus,Rubus chamaemorus,,,Newfoundland and Labrador
Trifolium cyathiferum,Trifolium,Trifolium cyathiferum,,,British Columbia
Symphoricarpos albus var. albus,Symphoricarpos,Symphoricarpos albus,var.,albus,Ontario
Sanicula marilandica,Sanicula,Sanicula marilandica,,,Nova Scotia
Rubus odoratus,Rubus,Rubus odoratus,,,New Brunswick
Salix pulchra,Salix,Salix pulchra,,,Yukon
Triglochin maritima,Triglochin,Triglochin maritima,,,New Brunswick
Rubus chamaemorus,Rubus,Rubus chamaemorus,,,Prince Edward Island
Rubus flagellaris,Rubus,Rubus flagellaris,,,Ontario
Salix lucida,Salix,Salix lucida,,,Yukon
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,strigosus,Yukon
Sagittaria latifolia,Sagittaria,Sagittaria latifolia,,,Saskatchewan
Triglochin maritima,Triglochin,Triglochin maritima,,,Northwest Territories
Triglochin maritima,Triglochin,Triglochin maritima,,,Prince Edward Island
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,,Saskatchewan
Salix planifolia,Salix,Salix planifolia,,,Yukon
Salix arctica,Salix,Salix arctica,,,Northwest Territories
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,,Nova Scotia
Urtica dioica,Urtica,Urtica dioica,,,New Brunswick
Urtica dioica,Urtica,Urtica dioica,,,Prince Edward Island
Salix scouleriana,Salix,Salix scouleriana,,,Northwest Territories
Salix barclayi,Salix,Salix barclayi,,,Yukon
Sagittaria latifolia,Sagittaria,Sagittaria latifolia,,,Prince Edward Island
Trifolium variegatum,Trifolium,Trifolium variegatum,,,British Columbia
Ulmus americana,Ulmus,Ulmus americana,,,Alberta
Sambucus racemosa,Sambucus,Sambucus racemosa,,,Manitoba
Rubus occidentalis,Rubus,Rubus occidentalis,,,Nova Scotia
Thuja plicata,Thuja,Thuja plicata,,,Alberta
Taxus brevifolia,Taxus,Taxus brevifolia,,,Alberta
Urtica dioica,Urtica,Urtica dioica,,,Northwest Territories
Sanicula marilandica,Sanicula,Sanicula marilandica,,,British Columbia
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,,New Brunswick
Trifolium microdon,Trifolium,Trifolium microdon,,,British Columbia
Salix reticulata,Salix,Salix reticulata,,,Ontario
Rubus nutkanus,Rubus,Rubus nutkanus,,,Alberta
Symphoricarpos albus,Symphoricarpos,Symphoricarpos albus,,,Newfoundland and Labrador
Sanicula marilandica,Sanicula,Sanicula marilandica,,,New Brunswick
Rubus canadensis,Rubus,Rubus canadensis,,,Newfoundland and Labrador
Sanicula marilandica,Sanicula,Sanicula marilandica,,,Prince Edward Island
Sorbus americana,Sorbus,Sorbus americana,,,Prince Edward Island
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,,New Brunswick
Rubus canadensis,Rubus,Rubus canadensis,,,New Brunswick
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,,Nova Scotia
Rubus canadensis,Rubus,Rubus canadensis,,,Quebec
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,New Brunswick
Rubus canadensis,Rubus,Rubus canadensis,,,Ontario
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,,Prince Edward Island
Salix arctophila,Salix,Salix arctophila,,,Ontario
Salix exigua,Salix,Salix exigua,,,Quebec
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,strigosus,Prince Edward Island
Salix pulchra,Salix,Salix pulchra,,,British Columbia
Salix arctophila,Salix,Salix arctophila,,,Newfoundland and Labrador
Salix arctica,Salix,Salix arctica,,,Newfoundland and Labrador
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,strigosus,Saskatchewan
Salix planifolia,Salix,Salix planifolia,,,Newfoundland and Labrador
Sorbus decora,Sorbus,Sorbus decora,,,Newfoundland and Labrador
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,strigosus,Newfoundland and Labrador
Rubus occidentalis,Rubus,Rubus occidentalis,,,New Brunswick
Trifolium oliganthum,Trifolium,Trifolium oliganthum,,,British Columbia
Salix planifolia,Salix,Salix planifolia,,,Alberta
Rumex occidentalis,Rumex,Rumex occidentalis,,,Ontario
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,laevigatus,Ontario
Salix arctophila,Salix,Salix arctophila,,,Nunavut
Salix reticulata,Salix,Salix reticulata,,,Northwest Territories
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,dioica,Quebec
Sorbus sitchensis var. grayi,Sorbus,Sorbus sitchensis,var.,grayi,British Columbia
Rubus lasiococcus,Rubus,Rubus lasiococcus,,,British Columbia
Symphoricarpos albus var. albus,Symphoricarpos,Symphoricarpos albus,var.,albus,British Columbia
Salix arctica,Salix,Salix arctica,,,Ontario
Salix exigua,Salix,Salix exigua,,,Alberta
Ulmus americana,Ulmus,Ulmus americana,,,British Columbia
Spiraea douglasii,Spiraea,Spiraea douglasii,,,Quebec
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,,Ontario
Schoenoplectus acutus var. occidentalis,Schoenoplectus,Schoenoplectus acutus,var.,occidentalis,British Columbia
Symphoricarpos albus,Symphoricarpos,Symphoricarpos albus,,,Prince Edward Island
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,dioica,Prince Edward Island
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Ontario
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,,Manitoba
Rubus idaeus subsp. strigosus,Rubus,Rubus idaeus,subsp.,strigosus,New Brunswick
Trifolium depauperatum var. depauperatum,Trifolium,Trifolium depauperatum,var.,depauperatum,British Columbia
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,,British Columbia
Salix arctophila,Salix,Salix arctophila,,,Northwest Territories
Salix arctophila,Salix,Salix arctophila,,,Quebec
Salix planifolia,Salix,Salix planifolia,,,Northwest Territories
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,dioica,Newfoundland and Labrador
Trifolium cyathiferum,Trifolium,Trifolium cyathiferum,,,Yukon
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,dioica,Nova Scotia
Schizachyrium scoparium,Schizachyrium,Schizachyrium scoparium,,,New Brunswick
Salix planifolia,Salix,Salix planifolia,,,British Columbia
Sorbus americana,Sorbus,Sorbus americana,,,British Columbia
Rubus nutkanus,Rubus,Rubus nutkanus,,,British Columbia
Salix barclayi,Salix,Salix barclayi,,,Alberta
Salix richardsonii,Salix,Salix richardsonii,,,Northwest Territories
Salix richardsonii,Salix,Salix richardsonii,,,Nunavut
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,laevigatus,British Columbia
Salix lucida,Salix,Salix lucida,,,Alberta
Salix lucida,Salix,Salix lucida,,,Northwest Territories
Salix barclayi,Salix,Salix barclayi,,,Northwest Territories
Salix barclayi,Salix,Salix barclayi,,,British Columbia
Rubus flagellaris,Rubus,Rubus flagellaris,,,Nova Scotia
Rumex occidentalis,Rumex,Rumex occidentalis,,,Manitoba
Salix planifolia,Salix,Salix planifolia,,,Nunavut
Salix exigua,Salix,Salix exigua,,,New Brunswick
Salix pulchra,Salix,Salix pulchra,,,Nunavut
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,,Northwest Territories
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,British Columbia
Spiraea douglasii var. menziesii,Spiraea,Spiraea douglasii,var.,menziesii,Yukon
Spiraea douglasii var. menziesii,Spiraea,Spiraea douglasii,var.,menziesii,British Columbia
Salix richardsonii,Salix,Salix richardsonii,,,Yukon
Schoenoplectus acutus,Schoenoplectus,Schoenoplectus acutus,,,Yukon
Salix exigua,Salix,Salix exigua,,,Yukon
Salix lucida subsp. lasiandra,Salix,Salix lucida,subsp.,lasiandra,Northwest Territories
Rumex occidentalis,Rumex,Rumex occidentalis,,,Quebec
Rumex occidentalis,Rumex,Rumex occidentalis,,,Nunavut
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Newfoundland and Labrador
Salix richardsonii,Salix,Salix richardsonii,,,British Columbia
Urtica dioica subsp. dioica,Urtica,Urtica dioica,subsp.,dioica,British Columbia
Salix sitchensis,Salix,Salix sitchensis,,,Alberta
Rubus nutkanus,Rubus,Rubus nutkanus,,,Ontario
Sedum spathulifolium var. pruinosum,Sedum,Sedum spathulifolium,var.,pruinosum,British Columbia
Salix planifolia,Salix,Salix planifolia,,,Saskatchewan
Salix scouleriana,Salix,Salix scouleriana,,,Newfoundland and Labrador
Salix scouleriana,Salix,Salix scouleriana,,,Manitoba
Salix richardsonii,Salix,Salix richardsonii,,,Quebec
Rumex occidentalis,Rumex,Rumex occidentalis,,,Newfoundland and Labrador
Salix sitchensis,Salix,Salix sitchensis,,,Newfoundland and Labrador
Salix arctica,Salix,Salix arctica,,,Manitoba
Thuja occidentalis,Thuja,Thuja occidentalis,,,Newfoundland and Labrador
Sorbus americana,Sorbus,Sorbus americana,,,Manitoba
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Alberta
Sanicula marilandica,Sanicula,Sanicula marilandica,,,Newfoundland and Labrador
Sorbus sitchensis,Sorbus,Sorbus sitchensis,,,Yukon
Spiraea douglasii var. douglasii,Spiraea,Spiraea douglasii,var.,douglasii,British Columbia
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,laevigatus,Nova Scotia
Rubus pensilvanicus,Rubus,Rubus pensilvanicus,,,Prince Edward Island
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Nova Scotia
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,laevigatus,Prince Edward Island
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Prince Edward Island
Salix scouleriana,Salix,Salix scouleriana,,,Saskatchewan
Salix arctophila,Salix,Salix arctophila,,,Manitoba
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Northwest Territories
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Yukon
Salix arctophila,Salix,Salix arctophila,,,Saskatchewan
Vaccinium nubigenum,Vaccinium,Vaccinium nubigenum,,,Quebec
Salix exigua,Salix,Salix exigua,,,Saskatchewan
Salix reticulata,Salix,Salix reticulata,,,Saskatchewan
Sorbus scopulina,Sorbus,Sorbus scopulina,,,Saskatchewan
Rubus idaeus subsp. idaeus,Rubus,Rubus idaeus,subsp.,idaeus,Quebec
Sorbus scopulina,Sorbus,Sorbus scopulina,,,Northwest Territories
Sorbus decora,Sorbus,Sorbus decora,,,Saskatchewan
Salix arctophila,Salix,Salix arctophila,,,Yukon
Rubus flagellaris,Rubus,Rubus flagellaris,,,Quebec
Rubus pedatus,Rubus,Rubus pedatus,,,Yukon
Sorbus decora,Sorbus,Sorbus decora,,,Manitoba
Salix exigua,Salix,Salix exigua,,,Manitoba
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Saskatchewan
Salix richardsonii,Salix,Salix richardsonii,,,Manitoba
Typha latifolia,Typha,Typha latifolia,,,Nunavut
Sium suave,Sium,Sium suave,,,Newfoundland and Labrador
Rubus flagellaris,Rubus,Rubus flagellaris,,,New Brunswick
Salix lucida subsp. lasiandra,Salix,Salix lucida,subsp.,lasiandra,Yukon
Vaccinium nubigenum,Vaccinium,Vaccinium nubigenum,,,Saskatchewan
Rubus odoratus,Rubus,Rubus odoratus,,,Newfoundland and Labrador
Tradescantia virginiana,Tradescantia,Tradescantia virginiana,,,Nova Scotia
Salix sitchensis,Salix,Salix sitchensis,,,Northwest Territories
Schoenoplectus acutus var. acutus,Schoenoplectus,Schoenoplectus acutus,var.,acutus,Quebec
Salix barclayi,Salix,Salix barclayi,,,Manitoba
Salix lucida,Salix,Salix lucida,,,Manitoba
Salix arctica,Salix,Salix arctica,,,Saskatchewan
Sorbus sitchensis,Sorbus,Sorbus sitchensis,,,Alberta
Sedum divergens,Sedum,Sedum divergens,,,Alberta
Salix exigua,Salix,Salix exigua,,,Northwest Territories
Salix barclayi,Salix,Salix barclayi,,,Quebec
Sorbus sitchensis var. sitchensis,Sorbus,Sorbus sitchensis,var.,sitchensis,Newfoundland and Labrador
Rumex occidentalis,Rumex,Rumex occidentalis,,,Nova Scotia
Tilia americana,Tilia,Tilia americana,,,Saskatchewan
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,laevigatus,Saskatchewan
Symphoricarpos albus var. albus,Symphoricarpos,Symphoricarpos albus,var.,albus,Quebec
Symphoricarpos albus var. laevigatus,Symphoricarpos,Symphoricarpos albus,var.,laevigatus,New Brunswick
Viburnum edule,Viburnum,Viburnum edule,,,British Columbia
Vaccinium ovatum,Vaccinium,Vaccinium ovatum,,,British Columbia
Vaccinium parvifolium,Vaccinium,Vaccinium parvifolium,,,British Columbia
Vitis riparia,Vitis,Vitis riparia,,,Ontario
Glycyrrhiza lepidota,Glycyrrhiza,Glycyrrhiza lepidota,,,Saskatchewan
Viburnum opulus,Viburnum,Viburnum opulus,,,Ontario
Vaccinium ovalifolium,Vaccinium,Vaccinium ovalifolium,,,British Columbia
Viburnum acerifolium,Viburnum,Viburnum acerifolium,,,Ontario
Vaccinium ovalifolium,Vaccinium,Vaccinium ovalifolium,,,Ontario
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,British Columbia
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Ontario
Viburnum lantanoides,Viburnum,Viburnum lantanoides,,,Nova Scotia
Viburnum lantana,Viburnum,Viburnum lantana,,,Ontario
Vaccinium membranaceum,Vaccinium,Vaccinium membranaceum,,,British Columbia
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,British Columbia
Viburnum lentago,Viburnum,Viburnum lentago,,,Ontario
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Ontario
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,British Columbia
Glycyrrhiza lepidota,Glycyrrhiza,Glycyrrhiza lepidota,,,Manitoba
Viburnum lantanoides,Viburnum,Viburnum lantanoides,,,Ontario
Viburnum lentago,Viburnum,Viburnum lentago,,,Quebec
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Quebec
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Quebec
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Quebec
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Newfoundland and Labrador
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Yukon
Vaccinium scoparium,Vaccinium,Vaccinium scoparium,,,British Columbia
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Ontario
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Nova Scotia
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Saskatchewan
Viburnum opulus,Viburnum,Viburnum opulus,,,Manitoba
Viburnum rafinesqueanum,Viburnum,Viburnum rafinesqueanum,,,Ontario
Vitis riparia,Vitis,Vitis riparia,,,New Brunswick
Viburnum edule,Viburnum,Viburnum edule,,,Nova Scotia
Vicia americana,Vicia,Vicia americana,,,Alberta
Viburnum lantanoides,Viburnum,Viburnum lantanoides,,,New Brunswick
Vaccinium corymbosum,Vaccinium,Vaccinium corymbosum,,,Nova Scotia
Viburnum lantanoides,Viburnum,Viburnum lantanoides,,,Prince Edward Island
Vitis riparia,Vitis,Vitis riparia,,,Manitoba
Viburnum opulus,Viburnum,Viburnum opulus,,,Saskatchewan
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Alberta
Viburnum opulus,Viburnum,Viburnum opulus,,,Nova Scotia
Viburnum rafinesqueanum,Viburnum,Viburnum rafinesqueanum,,,Manitoba
Vicia americana,Vicia,Vicia americana,,,British Columbia
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,New Brunswick
Viburnum edule,Viburnum,Viburnum edule,,,Alberta
Viburnum opulus,Viburnum,Viburnum opulus,,,New Brunswick
Yucca glauca,Yucca,Yucca glauca,,,Alberta
Viburnum dentatum,Viburnum,Viburnum dentatum,,,Ontario
Vaccinium corymbosum,Vaccinium,Vaccinium corymbosum,,,Ontario
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Nova Scotia
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Manitoba
Viburnum edule,Viburnum,Viburnum edule,,,Saskatchewan
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Nova Scotia
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Manitoba
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,New Brunswick
Vitis riparia,Vitis,Vitis riparia,,,Quebec
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Saskatchewan
Viburnum lantanoides,Viburnum,Viburnum lantanoides,,,Quebec
Viburnum opulus,Viburnum,Viburnum opulus,,,Quebec
Glycyrrhiza lepidota,Glycyrrhiza,Glycyrrhiza lepidota,,,Alberta
Viburnum rafinesqueanum,Viburnum,Viburnum rafinesqueanum,,,Quebec
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Northwest Territories
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Alberta
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Prince Edward Island
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Ontario
Vaccinium membranaceum,Vaccinium,Vaccinium membranaceum,,,Alberta
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Nunavut
Glycyrrhiza lepidota,Glycyrrhiza,Glycyrrhiza lepidota,,,British Columbia
Vaccinium scoparium,Vaccinium,Vaccinium scoparium,,,Alberta
Viburnum opulus var. opulus,Viburnum,Viburnum opulus,var.,opulus,Ontario
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Quebec
Viburnum opulus,Viburnum,Viburnum opulus,,,Alberta
Viburnum edule,Viburnum,Viburnum edule,,,Yukon
Viburnum opulus,Viburnum,Viburnum opulus,,,Prince Edward Island
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,British Columbia
Zizania palustris,Zizania,Zizania palustris,,,Ontario
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Yukon
Viburnum acerifolium,Viburnum,Viburnum acerifolium,,,Quebec
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Nunavut
Viburnum opulus,Viburnum,Viburnum opulus,,,British Columbia
Zizania palustris,Zizania,Zizania palustris,,,Quebec
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Prince Edward Island
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Newfoundland and Labrador
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Newfoundland and Labrador
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Alberta
Viburnum edule,Viburnum,Viburnum edule,,,Ontario
Viburnum edule,Viburnum,Viburnum edule,,,Quebec
Vicia americana,Vicia,Vicia americana,,,Ontario
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Newfoundland and Labrador
Zizania aquatica,Zizania,Zizania aquatica,,,Ontario
Vitis aestivalis,Vitis,Vitis aestivalis,,,Ontario
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,British Columbia
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Yukon
Vicia americana,Vicia,Vicia americana,,,Saskatchewan
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Saskatchewan
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Manitoba
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Quebec
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,British Columbia
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Nova Scotia
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Alberta
Viburnum edule,Viburnum,Viburnum edule,,,Newfoundland and Labrador
Zizania aquatica,Zizania,Zizania aquatica,,,Quebec
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Manitoba
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Ontario
Viburnum lantana,Viburnum,Viburnum lantana,,,Quebec
Viburnum opulus var. opulus,Viburnum,Viburnum opulus,var.,opulus,Quebec
Vaccinium myrtillus,Vaccinium,Vaccinium myrtillus,,,British Columbia
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Ontario
Vaccinium myrtilloides,Vaccinium,Vaccinium myrtilloides,,,Newfoundland and Labrador
Viburnum lentago,Viburnum,Viburnum lentago,,,Manitoba
Viburnum edule,Viburnum,Viburnum edule,,,Manitoba
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Manitoba
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,New Brunswick
Viburnum lantana,Viburnum,Viburnum lantana,,,New Brunswick
Vaccinium vitis-idaea,Vaccinium,Vaccinium vitis-idaea,,,Prince Edward Island
Vaccinium deliciosum,Vaccinium,Vaccinium deliciosum,,,British Columbia
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,New Brunswick
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Manitoba
Zizania palustris,Zizania,Zizania palustris,,,British Columbia
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Northwest Territories
Viburnum edule,Viburnum,Viburnum edule,,,Northwest Territories
Viburnum opulus var. opulus,Viburnum,Viburnum opulus,var.,opulus,Nova Scotia
Viburnum lantana,Viburnum,Viburnum lantana,,,Nova Scotia
Vaccinium corymbosum,Vaccinium,Vaccinium corymbosum,,,Quebec
Vaccinium pallidum,Vaccinium,Vaccinium pallidum,,,Ontario
Viburnum dentatum,Viburnum,Viburnum dentatum,,,Quebec
Vitis aestivalis,Vitis,Vitis aestivalis,,,Quebec
Glycyrrhiza lepidota,Glycyrrhiza,Glycyrrhiza lepidota,,,Ontario
Vicia americana,Vicia,Vicia americana,,,Manitoba
Viburnum opulus var. opulus,Viburnum,Viburnum opulus,var.,opulus,New Brunswick
Vaccinium corymbosum,Vaccinium,Vaccinium corymbosum,,,British Columbia
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Alberta
Vaccinium ovalifolium,Vaccinium,Vaccinium ovalifolium,,,Quebec
Vicia americana,Vicia,Vicia americana,,,Northwest Territories
Vicia americana,Vicia,Vicia americana,,,Yukon
Viburnum opulus,Viburnum,Viburnum opulus,,,Newfoundland and Labrador
Viburnum opulus var. opulus,Viburnum,Viburnum opulus,var.,opulus,British Columbia
Vaccinium boreale,Vaccinium,Vaccinium boreale,,,Nova Scotia
Viburnum dentatum,Viburnum,Viburnum dentatum,,,Nova Scotia
Vaccinium boreale,Vaccinium,Vaccinium boreale,,,Newfoundland and Labrador
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Prince Edward Island
Zizania aquatica,Zizania,Zizania aquatica,,,Nova Scotia
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Nova Scotia
Vaccinium ovalifolium,Vaccinium,Vaccinium ovalifolium,,,Newfoundland and Labrador
Vaccinium myrtillus,Vaccinium,Vaccinium myrtillus,,,Alberta
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Quebec
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Newfoundland and Labrador
Viburnum opulus var. americanum,Viburnum,Viburnum opulus,var.,americanum,Saskatchewan
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Northwest Territories
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,British Columbia
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Alberta
Vaccinium corymbosum,Vaccinium,Vaccinium corymbosum,,,New Brunswick
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Saskatchewan
Vaccinium stamineum,Vaccinium,Vaccinium stamineum,,,Ontario
Zizania aquatica,Zizania,Zizania aquatica,,,British Columbia
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,New Brunswick
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Yukon
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Yukon
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Alberta
Vitis riparia,Vitis,Vitis riparia,,,Nova Scotia
Vicia americana subsp. minor,Vicia,Vicia americana,subsp.,minor,Saskatchewan
Viburnum edule,Viburnum,Viburnum edule,,,New Brunswick
Viburnum lantana,Viburnum,Viburnum lantana,,,Newfoundland and Labrador
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Northwest Territories
Zizania palustris,Zizania,Zizania palustris,,,Manitoba
Vaccinium myrtillus,Vaccinium,Vaccinium myrtillus,,,Nova Scotia
Vaccinium myrtillus,Vaccinium,Vaccinium myrtillus,,,Prince Edward Island
Vaccinium myrtillus,Vaccinium,Vaccinium myrtillus,,,Quebec
Zizania aquatica,Zizania,Zizania aquatica,,,Manitoba
Viburnum opulus,Viburnum,Viburnum opulus,,,Yukon
Vaccinium oxycoccos,Vaccinium,Vaccinium oxycoccos,,,Nunavut
Vicia nigricans,Vicia,Vicia nigricans,,,British Columbia
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Saskatchewan
Zizania palustris var. palustris,Zizania,Zizania palustris,var.,palustris,Ontario
Zizania aquatica var. brevis,Zizania,Zizania aquatica,var.,brevis,Quebec
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Quebec
Viburnum lantana,Viburnum,Viburnum lantana,,,Prince Edward Island
Vicia nigricans var. gigantea,Vicia,Vicia nigricans,var.,gigantea,British Columbia
Vicia americana var. americana,Vicia,Vicia americana,var.,americana,British Columbia
Vicia americana var. americana,Vicia,Vicia americana,var.,americana,Ontario
Zizania aquatica var. brevis,Zizania,Zizania aquatica,var.,brevis,Newfoundland and Labrador
Zizania aquatica var. aquatica,Zizania,Zizania aquatica,var.,aquatica,Quebec
Vaccinium cespitosum,Vaccinium,Vaccinium cespitosum,,,Nova Scotia
Viburnum lentago,Viburnum,Viburnum lentago,,,New Brunswick
Zizania palustris var. palustris,Zizania,Zizania palustris,var.,palustris,Nova Scotia
Zizania aquatica,Zizania,Zizania aquatica,,,Prince Edward Island
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,New Brunswick
Vaccinium ovalifolium,Vaccinium,Vaccinium ovalifolium,,,Yukon
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Ontario
Zizania aquatica,Zizania,Zizania aquatica,,,Saskatchewan
Vaccinium uliginosum,Vaccinium,Vaccinium uliginosum,,,Saskatchewan
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Nunavut
Vaccinium microcarpum,Vaccinium,Vaccinium microcarpum,,,Manitoba
Zizania aquatica var. aquatica,Zizania,Zizania aquatica,var.,aquatica,Ontario
Vicia americana var. americana,Vicia,Vicia americana,var.,americana,Manitoba
Vicia americana var. americana,Vicia,Vicia americana,var.,americana,Alberta
