"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Botanical.Name","Common.Name","Count","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"35","Picea glauca","Picea","Picea glauca",NA,NA,"Spruce",NA,"Y","N","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea glauca 'Blue Wonder'","Blue Wonder Dwarf Alberta Spruce",6,"Picea","glauca","","","","","Picea glauca"
"36","Picea glauca","Picea","Picea glauca",NA,NA,"Spruce",NA,"Y","N","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea glauca","White Spruce",371,"Picea","glauca","","","","","Picea glauca"
"37","Picea glauca","Picea","Picea glauca",NA,NA,"Spruce",NA,"Y","N","Y","gum, tea, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea glauca 'Conica'","Dwarf Alberta Spruce",1156,"Picea","glauca","","","","","Picea glauca"
"38","Picea mariana","Picea","Picea mariana",NA,NA,"Spruce",NA,"Y","N","Y","needles, gum, tea","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea mariana","Black Spruce",5,"Picea","mariana","","","","","Picea mariana"
"39","Picea sitchensis","Picea","Picea sitchensis",NA,NA,"Spruce",NA,"Y","N","Y","gum, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Picea sitchensis","Sitka Spruce",2,"Picea","sitchensis","","","","","Picea sitchensis"
"40","Pinus ponderosa","Pinus","Pinus ponderosa",NA,NA,"Pine",NA,"N","N","Y","needles, seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Pinus ponderosa","Ponderosa Pine",4,"Pinus","ponderosa","","","","","Pinus ponderosa"
"41","Pinus resinosa","Pinus","Pinus resinosa",NA,NA,"Pine",NA,"Y","N","N","","Y","Forest Resources","Cultural",NA,"Forest Resources","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","","Pinus resinosa","Red Pine",3,"Pinus","resinosa","","","","","Pinus resinosa"
"42","Prunus americana","Prunus","Prunus americana",NA,NA,"Apricot, Cherry, Peach, Plum","Almond","Y","Y","Y","fruit","Y","Food","Cultural","Food","Fruits","Ornamentals","Materials","Nuts","1A",1,"Progenitor","Graftstock","","","","","","Dwarfing (AG)","Crop Quality (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Prunus americana","American Plum",13,"Prunus","americana","","","","","Prunus americana"
"43","Prunus nigra","Prunus","Prunus nigra",NA,NA,"Apricot, Cherry, Peach, Plum","Almond","Y","Y","Y","fruit","Y","Food","Cultural","Food","Fruits","Ornamentals","Materials","Nuts","1B",1,"Secondary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Prunus nigra","Canada Plum",1,"Prunus","nigra","","","","","Prunus nigra"
"44","Prunus pensylvanica","Prunus","Prunus pensylvanica",NA,NA,"Apricot, Cherry, Peach, Plum","Almond","Y","Y","Y","fruit","Y","Food","Cultural","Food","Fruits","Ornamentals","Materials","Nuts","1A",1,"Progenitor","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Prunus pensylvanica","Pin Cherry",2,"Prunus","pensylvanica","","","","","Prunus pensylvanica"
"45","Prunus serotina","Prunus","Prunus serotina",NA,NA,"Apricot, Cherry, Peach, Plum","Almond","N","Y","Y","fruit","Y","Food","Cultural","Food","Fruits","Ornamentals","Materials","Nuts","1C",1,"Tertiary","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Prunus serotina","Black Cherry",26,"Prunus","serotina","","","","","Prunus serotina"
