"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Accession","Name","Taxonomy","Origin","Repository","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"174","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99739","Native 'BC Collection: Site 68'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"175","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99740","Native 'BC Collection: Site 68'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"176","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99629","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"177","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99755","Native 'BC Collection: Site 69'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"178","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99800","Native 'BC Collection: Site 75'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"179","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99471","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"180","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99757","Native 'BC Collection: Site 71'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"181","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99758","Native 'BC Collection: Site 71'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"182","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99759","Native 'BC Collection: Site 71'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"183","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99760","Native 'BC Collection: Site 71'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"184","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99761","Native 'BC Collection: Site 71'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"185","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99395","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"186","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99406","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"187","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99641","Native 'BC Collection: Site 49'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"188","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99428","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"189","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99439","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"190","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99830","Native 'BC Collection: Site 78 B'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"191","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99817","Native 'BC Collection: Site 76'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"192","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99613","Native 'BC Collection: Site 46'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"193","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99483","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"194","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99494","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"195","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99505","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"196","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99516","Native 'BC Collection: Site 44'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"197","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99527","Native 'BC Collection: Site 45'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"198","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99538","Native 'BC Collection: Site 45'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"199","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99654","Native 'BC Collection: Site 51'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"200","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99658","Native 'BC Collection: Site 52'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"201","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99659","Native 'BC Collection: Site 52'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"202","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99660","Native 'BC Collection: Site 52'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"203","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99661","Native 'BC Collection: Site 52'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"204","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99767","Native 'BC Collection: Site 71'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"205","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99816","Native 'BC Collection: Site 76'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"206","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99729","Native 'BC Collection: Site 68'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"207","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99730","Native 'BC Collection: Site 68'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"208","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99619","Native 'BC Collection: Site 47'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"209","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99620","Native 'BC Collection: Site 47'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"210","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99621","Native 'BC Collection: Site 47'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"211","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99623","Native 'BC Collection: Site 47'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"212","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99625","Native 'BC Collection: Site 47'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"213","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99626","Native 'BC Collection: Site 47'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"214","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99627","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"215","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99628","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"216","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99815","Native 'BC Collection: Site 76'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"217","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99822","Native 'BC Collection: Site 76'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"218","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99636","Native 'BC Collection: Site 49'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"219","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99801","Native 'BC Collection: Site 75'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"220","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99648","Native 'BC Collection: Site 51'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
