"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"183","Fragaria virginiana","Strawberry","Fragaria","Fragaria virginiana",NA,NA,"N","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,1,"Primary","1A","","","","Disease Resistance (B)","","","Crop Quality (AG)","High Yield (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",440,8,432
"184","Rosa carolina","Rose","Rosa","Rosa carolina",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,2,11
"185","Sambucus caerulea","Elderberry","Sambucus","Sambucus caerulea",NA,NA,"Y","Y","Y","fruit, flowers (as WUS not as CWR, CWR assigned for ornamental value)","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1,1,0
"186","Sium suave","Water-parsnip","Sium","Sium suave",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,1,3
"187","Taxus brevifolia","Yew","Taxus","Taxus brevifolia",NA,NA,"Y","Y","Y","medicinal properties","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Fett-Neto et al. 1992",9,4,5
"188","Triglochin maritima","Arrowgrass","Triglochin","Triglochin maritima",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",14,3,11
"189","Typha latifolia","Cattail","Typha","Typha latifolia",NA,NA,"Y","N","Y","greens, rhizomes, shoots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",26,4,22
"190","Sorbus sitchensis var. sitchensis","Rowan","Sorbus","Sorbus sitchensis","var.","sitchensis","Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",12,5,7
"191","Vaccinium uliginosum","Blueberry, Cranberry","Vaccinium","Vaccinium uliginosum",NA,NA,"Y","Y","Y","lingonberry; fruit, leaves and fruit as tea","Y","Food","","Food","Fruits","","","Fruits",1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",128,8,120
"192","Salix planifolia","Willow","Salix","Salix planifolia",NA,NA,"Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,4,0
"193","Blitum capitatum","Spinach","Blitum","Blitum capitatum",NA,NA,"N","Y","Y","strawberry spinach; greens and fruit","Y","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",4,1,3
"194","Vaccinium oxycoccos","Blueberry, Cranberry","Vaccinium","Vaccinium oxycoccos",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",92,3,89
"195","Vaccinium myrtilloides","Blueberry, Cranberry","Vaccinium","Vaccinium myrtilloides",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",21,8,13
"196","Allium canadense","Onions, Garlic, Leeks","Allium","Allium canadense",NA,NA,"N","Y","Y","Canada onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",4,2,2
"197","Claytonia caroliniana","Spring-beauty","Claytonia","Claytonia caroliniana",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,3,0
"198","Physalis heterophylla","Tomatillo","Physalis","Physalis heterophylla",NA,NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",2,1,1
"199","Zizania palustris","Wild-rice","Zizania","Zizania palustris",NA,NA,"N","Y","Y","wild rice', grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",1,1,0
"200","Gaylussacia bigeloviana","Huckleberry","Gaylussacia","Gaylussacia bigeloviana",NA,NA,"Y","N","Y","huckleberry; fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",1,1,0
"201","Rubus allegheniensis","Blackberry, Raspberry","Rubus","Rubus allegheniensis",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","Growth Habit (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",43,4,39
"202","Rubus chamaemorus","Blackberry, Raspberry","Rubus","Rubus chamaemorus",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",31,2,29
"203","Sanicula marilandica","Sanicula","Sanicula","Sanicula marilandica",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",1,1,0
"204","Balsamorhiza deltoidea","Balsamroot","Balsamorhiza","Balsamorhiza deltoidea",NA,NA,"Y","N","Y","roots, sprouts","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",9,6,3
"205","Agastache urticifolia","Hyssop","Agastache","Agastache urticifolia",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",42,1,41
"206","Acer glabrum var. douglasii","Sugar Maple","Acer","Acer glabrum","var.","douglasii","Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",23,13,10
"207","Quercus garryana var. garryana","Oak","Quercus","Quercus garryana","var.","garryana","Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",66,66,0
"208","Viburnum rafinesqueanum","Highbush cranberry","Viburnum","Viburnum rafinesqueanum",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",9,2,7
"209","Arbutus menziesii","Arbutus","Arbutus","Arbutus menziesii",NA,NA,"Y","N","Y","medicinal properties","Y","Medicinals","Food",NA,"Medicinals","Fruits","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",34,32,2
"210","Cornus unalaschkensis","Dogwood","Cornus","Cornus unalaschkensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","Forest Resources",NA,NA,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",7,5,2
"211","Ribes triste","Currant, Gooseberry","Ribes","Ribes triste",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","Cold Tolerance (AB)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",17,2,15
"212","Vaccinium ovalifolium","Blueberry, Cranberry","Vaccinium","Vaccinium ovalifolium",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",107,11,96
"213","Gaylussacia baccata","Huckleberry","Gaylussacia","Gaylussacia baccata",NA,NA,"Y","N","Y","huckleberry; fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",15,3,12
"214","Salix sitchensis","Willow","Salix","Salix sitchensis",NA,NA,"Y","Y","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,3,1
"215","Tsuga mertensiana","Hemlock","Tsuga","Tsuga mertensiana",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",27,17,10
"216","Larix occidentalis","Larch","Larix","Larix occidentalis",NA,NA,"Y","Y","Y","western larch; gum, inner bark, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",17,2,15
"217","Gaultheria ovatifolia","Salal berry","Gaultheria","Gaultheria ovatifolia",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,2,2
"218","Fritillaria affinis var. affinis","Fritillaria","Fritillaria","Fritillaria affinis","var.","affinis","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",10,10,0
"219","Lonicera utahensis","Honeysuckle","Lonicera","Lonicera utahensis",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",1,1,0
"220","Lilium columbianum","Lily","Lilium","Lilium columbianum",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",17,10,7
"221","Lomatium utriculatum","Biscuitroot","Lomatium","Lomatium utriculatum",NA,NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",14,6,8
"222","Melica subulata","Onion grass","Melica","Melica subulata",NA,NA,"Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,3,1
"223","Oemleria cerasiformis","Oso","Oemleria","Oemleria cerasiformis",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",20,19,1
"224","Lomatium nudicaule","Biscuitroot","Lomatium","Lomatium nudicaule",NA,NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",37,5,32
"225","Vaccinium cespitosum","Blueberry, Cranberry","Vaccinium","Vaccinium cespitosum",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",17,4,13
"226","Arctostaphylos columbiana","Bearberry","Arctostaphylos","Arctostaphylos columbiana",NA,NA,"Y","N","Y","berries edible","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",7,4,3
"227","Lonicera ciliosa","Honeysuckle","Lonicera","Lonicera ciliosa",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",16,11,5
"228","Vaccinium myrtillus","Blueberry, Cranberry","Vaccinium","Vaccinium myrtillus",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","","Food","Fruits","","","Fruits",1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",46,1,45
"229","Ribes sanguineum var. sanguineum","Currant, Gooseberry","Ribes","Ribes sanguineum","var.","sanguineum","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",73,43,30
"230","Ribes lobbii","Currant, Gooseberry","Ribes","Ribes lobbii",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",10,3,7
"231","Rosa gymnocarpa","Rose","Rosa","Rosa gymnocarpa",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",11,7,4
"232","Lomatium macrocarpum","Biscuitroot","Lomatium","Lomatium macrocarpum",NA,NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",18,1,17
"233","Picea sitchensis","Spruce","Picea","Picea sitchensis",NA,NA,"Y","Y","Y","gum, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",56,25,31
"234","Leymus mollis","Wheat","Leymus","Leymus mollis",NA,NA,"N","Y","Y","wild rye grass; grains","Y","Food","","Food","Cereals and pseudocereals","","","Cereals and pseudocereals",1,"Tertiary","1C","","Heat Tolerance (AB)","Salt Tolerance (AB)","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",346,1,345
"235","Asarum caudatum","Wild-ginger","Asarum","Asarum caudatum",NA,NA,"Y","N","Y","wild ginger; rhizomes as condiment","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",17,17,0
"236","Lomatium triternatum","Biscuitroot","Lomatium","Lomatium triternatum",NA,NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",49,2,47
"237","Caltha leptosepala","Marsh marigold","Caltha","Caltha leptosepala",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",10,4,6
"238","Rubus pedatus","Blackberry, Raspberry","Rubus","Rubus pedatus",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",23,7,16
"239","Sedum divergens","Sedum","Sedum","Sedum divergens",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,4,0
"240","Vaccinium deliciosum","Blueberry, Cranberry","Vaccinium","Vaccinium deliciosum",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",13,2,11
"241","Lomatium dissectum","Biscuitroot","Lomatium","Lomatium dissectum",NA,NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",72,2,70
"242","Vaccinium stamineum","Blueberry, Cranberry","Vaccinium","Vaccinium stamineum",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",25,5,20
"243","Allium acuminatum","Onions, Garlic, Leeks","Allium","Allium acuminatum",NA,NA,"Y","Y","Y","Hooker's onion; blubs","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",31,2,29
"244","Monotropa uniflora","Ghost-pipe","Monotropa","Monotropa uniflora",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",1,1,0
"245","Ribes cereum","Currant, Gooseberry","Ribes","Ribes cereum",NA,NA,"N","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",50,3,47
"246","Fragaria chiloensis subsp. pacifica","Strawberry","Fragaria","Fragaria chiloensis","subsp.","pacifica","Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",334,14,320
"247","Allium amplectens","Onions, Garlic, Leeks","Allium","Allium amplectens",NA,NA,"Y","Y","Y","slim leaf onion; blubs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",7,1,6
"248","Gaultheria humifusa","Salal berry","Gaultheria","Gaultheria humifusa",NA,NA,"Y","N","Y","fruit, leaves as tea","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",6,2,4
"249","Vaccinium ovatum","Blueberry, Cranberry","Vaccinium","Vaccinium ovatum",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",66,26,40
"250","Viburnum edule","Highbush cranberry","Viburnum","Viburnum edule",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",2,2,0
"251","Spiraea douglasii","Meadowsweet","Spiraea","Spiraea douglasii",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,4,9
"252","Ribes bracteosum","Currant, Gooseberry","Ribes","Ribes bracteosum",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","Growth Habit (AG)","High Yield (AG)","","Late Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",30,9,21
"253","Vaccinium membranaceum","Blueberry, Cranberry","Vaccinium","Vaccinium membranaceum",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",82,8,74
"254","Corylus californica","Hazelnut","Corylus","Corylus californica",NA,NA,"Y","Y","Y","hazelnut; nuts","Y","Food","",NA,"Nuts","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",52,5,47
"255","Erythronium revolutum","Fawn-Lily","Erythronium","Erythronium revolutum",NA,NA,"Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",14,13,1
"256","Fragaria ananassa","Strawberry","Fragaria","Fragaria ananassa",NA,NA,"N","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",890,4,886
"257","Frangula purshiana","Buckthorn","Frangula","Frangula purshiana",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",9,3,6
"258","Gaultheria shallon","Salal berry","Gaultheria","Gaultheria shallon",NA,NA,"Y","N","Y","fruit, shoots","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",22,11,11
"259","Oenanthe sarmentosa","Water-parsley","Oenanthe","Oenanthe sarmentosa",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",2,2,0
"260","Ribes divaricatum","Currant, Gooseberry","Ribes","Ribes divaricatum",NA,NA,"N","Y","Y","fruit, greens","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1A","Graftstock","","","Disease Resistance (B)","","","High Yield (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",5,2,3
"261","Sedum oreganum","Sedum","Sedum","Sedum oreganum",NA,NA,"N","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",10,10,0
"262","Tsuga heterophylla","Hemlock","Tsuga","Tsuga heterophylla",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",23,11,12
"263","Vaccinium parvifolium","Blueberry, Cranberry","Vaccinium","Vaccinium parvifolium",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",51,10,41
"264","Acer negundo","Sugar Maple","Acer","Acer negundo",NA,NA,"N","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",25,5,20
"265","Elymus canadensis","Wheat","Elymus","Elymus canadensis",NA,NA,"N","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","Forage and Feed","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",92,2,90
"266","Schoenoplectus acutus","Tule","Schoenoplectus","Schoenoplectus acutus",NA,NA,"N","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",20,2,18
"267","Claytonia sibirica","Spring-beauty","Claytonia","Claytonia sibirica",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",2,1,1
"268","Fritillaria camschatcensis","Fritillaria","Fritillaria","Fritillaria camschatcensis",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",7,2,5
"269","Kalmia microphylla","Mountain-laurel","Kalmia","Kalmia microphylla",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",7,5,2
"270","Leymus cinereus","Wheat","Leymus","Leymus cinereus",NA,NA,"Y","Y","Y","wild rye grass; grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",379,1,378
"271","Lupinus littoralis","Lupin","Lupinus","Lupinus littoralis",NA,NA,"Y","Y","Y","","Y","Food","",NA,"Pulses","","",NA,1,"Assume distant","1C","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",9,2,7
"272","Lupinus nootkatensis","Lupin","Lupinus","Lupinus nootkatensis",NA,NA,"N","Y","Y","","Y","Food","",NA,"Pulses","","",NA,1,"Assume distant","1C","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",22,1,21
"273","Mahonia nervosa","Barberry","Mahonia","Mahonia nervosa",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",22,18,4
"274","Pinus albicaulis","Pine","Pinus","Pinus albicaulis",NA,NA,"Y","Y","Y","seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1140,1,1139
"275","Rosa nitida","Rose","Rosa","Rosa nitida",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,3,0
