SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Castanea dentata,Castanea dentata,Castanea dentata (Marshall) Borkh.,Chestnut,1A,1,Y,N1,G3,E - Endangered (E) / En voie de disparition (VD),Y,267,258,9,106,101,5,,Y,Castanea,NA,NA,american chestnut'; nuts,Y,Food,Ornamentals,NA,Nuts,Ornamentals,,NA,Primary
Amaranthus hybridus,Amaranthus hybridus,Amaranthus hybridus L.,Amaranth,1A,1,Y,NNA,G5,,Y,142,0,142,0,0,0,,Y,Amaranthus,NA,NA,greens and seeds used,N,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Progenitor
Amaranthus retroflexus,Amaranthus retroflexus,Amaranthus retroflexus L.,Amaranth,1B,1,Y,N5,G5,,Y,29,0,29,2,0,2,,Y,Amaranthus,NA,NA,greens and seeds used,N,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Secondary
Amaranthus tuberculatus,Amaranthus tuberculatus,Amaranthus tuberculatus (Moq.) Sauer,Amaranth,1C,1,N,N4,GNR,,Y,52,0,52,0,0,0,,Y,Amaranthus,NA,NA,,Y,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Assume distant
Ambrosia chamissonis,Ambrosia chamissonis,Ambrosia chamissonis (Less.) Greene,Ragweed,NA,NA,Y,N5,G5,,N,1,0,1,0,0,0,,Y,Ambrosia,NA,NA,medicinal properties,Y,Medicinals,,NA,Medicinals,,,NA,NA
Amelanchier alnifolia,Amelanchier alnifolia,Amelanchier alnifolia (Nutt.) Nutt.,Saskatoon,1A,1,Y,NNR,G5,,Y,176,71,105,32,27,5,N,N,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor
Amelanchier alnifolia,Amelanchier alnifolia var. alnifolia,Amelanchier alnifolia  (Nutt.) Nutt. var. alnifolia,Saskatoon,1A,1,Y,N5,T5,,Y,176,71,105,NA,NA,NA,N,Y,Amelanchier,var.,alnifolia,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor
Amelanchier alnifolia,Amelanchier alnifolia var. humptulipensis,Amelanchier alnifolia var. humptulipensis (G.N.Jones) C.L.Hitchc.,Saskatoon,1A,1,Y,NNR,T4,,Y,176,71,105,NA,NA,NA,N,Y,Amelanchier,var.,humptulipensis,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor
Amelanchier alnifolia,Amelanchier alnifolia var. pumila,Amelanchier alnifolia var. pumila (Torr. & A.Gray) C.K.Schneid.,Saskatoon,1C,1,Y,NNR,G5,,Y,176,71,105,NA,NA,NA,N,Y,Amelanchier,var.,pumila,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier alnifolia,Amelanchier alnifolia var. semiintegrifolia,Amelanchier alnifolia var. semiintegrifolia (Hook.) C.L.Hitchc.,Saskatoon,1A,1,Y,NNR,T4,,Y,176,71,105,NA,NA,NA,N,Y,Amelanchier,var.,semiintegrifolia,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor
Amelanchier arborea,Amelanchier arborea,Amelanchier arborea (F.Michx.) Fernald,Saskatoon,1C,1,Y,NNR,G5,,Y,22,12,10,3,3,0,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier bartramiana,Amelanchier bartramiana,Amelanchier bartramiana (Tausch) M.Roem.,Saskatoon,1C,1,Y,N5,G5,,Y,1,1,0,1,1,0,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier canadensis,Amelanchier canadensis,Amelanchier canadensis (L.) Medik.,Saskatoon,1C,1,Y,N4,G5,,Y,39,34,5,0,0,0,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier cusickii,Amelanchier cusickii,Amelanchier cusickii Fernald,Saskatoon,1A,1,Y,N5,T5,,Y,6,4,2,4,2,2,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Progenitor
Amelanchier humilis,Amelanchier humilis,Amelanchier humilis Wiegand,Saskatoon,1C,1,Y,N5,G5,,Y,15,15,0,14,14,0,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier interior,Amelanchier interior,Amelanchier interior Nielsen,Saskatoon,1C,1,Y,N5,G5,,Y,1,1,0,0,0,0,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier intermedia,Amelanchier intermedia,Amelanchier intermedia Spach,Saskatoon,1C,1,Y,N5,GNA,,Y,12,11,1,7,7,0,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier laevis,Amelanchier laevis,Amelanchier laevis Wiegand,Saskatoon,1C,1,Y,N5,G5,,Y,47,42,5,7,7,0,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
Amelanchier sanguinea,Amelanchier sanguinea,Amelanchier sanguinea (Pursh) DC.,Saskatoon,1C,1,Y,NNR,G5,,Y,6,2,4,2,1,1,,Y,Amelanchier,NA,NA,"edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit",Y,Food,Ornamentals,NA,Fruits,Ornamentals,,NA,Assume distant
