TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY
Crataegus canadensis,Crataegus canadensis,NA,Y,Y,,Y,G3,NNR,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus castlegarensis,Crataegus castlegarensis,NA,Y,Y,,Y,G5,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa,Crataegus chrysocarpa,NA,Y,Y,N,Y,G5,N5,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. blanchardii,Crataegus chrysocarpa,NA,Y,Y,N,Y,TNR,NNR,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,blanchardii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. chrysocarpa,Crataegus chrysocarpa,NA,Y,Y,N,Y,T5,N5,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,chrysocarpa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. faxonii,Crataegus chrysocarpa,NA,Y,Y,N,Y,G5,NNR,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,faxonii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. phoeniceoides,Crataegus chrysocarpa,NA,Y,Y,N,Y,TNR,NNR,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,phoeniceoides,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. piperi,Crataegus chrysocarpa,NA,Y,Y,N,Y,T4,NNR,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,piperi,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. subrotundifolia,Crataegus chrysocarpa,NA,Y,Y,N,Y,TNR,NNR,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,subrotundifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. vernonensis,Crataegus chrysocarpa,NA,Y,Y,N,Y,T2,N2,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,vernonensis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus chrysocarpa var. virgintistamina,Crataegus chrysocarpa,NA,Y,Y,N,Y,TNR,NNR,,8,0,8,NA,NA,NA,Hawthorn,Crataegus,var.,virgintistamina,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus coccinea,Crataegus coccinea,NA,Y,Y,N,N,G5,N5,,9,4,5,4,0,4,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus coccinea var. coccinea,Crataegus coccinea,NA,Y,Y,N,Y,G5,N4,,9,4,5,NA,NA,NA,Hawthorn,Crataegus,var.,coccinea,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus coccinea var. fulleriana,Crataegus coccinea,NA,Y,Y,N,Y,G4,N2,,9,4,5,NA,NA,NA,Hawthorn,Crataegus,var.,fulleriana,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus coccinea var. pringlei,Crataegus coccinea,NA,Y,Y,N,Y,G5,N5,,9,4,5,NA,NA,NA,Hawthorn,Crataegus,var.,pringlei,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus coccinioides,Crataegus coccinioides,NA,Y,Y,,Y,GNR,N2,,1,0,1,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus cognata,Crataegus cognata,NA,Y,Y,,Y,GNR,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus compacta,Crataegus compacta,NA,Y,Y,,Y,G5,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus crus-galli,Crataegus crus-galli,NA,Y,Y,N,N,G5,N4,,50,41,9,34,34,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus crus-galli var. crus-galli,Crataegus crus-galli,NA,Y,Y,N,Y,T5,N4,,50,41,9,NA,NA,NA,Hawthorn,Crataegus,var.,crus-galli,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus cupressocollina,Crataegus cupressocollina,NA,Y,Y,,Y,GNR,N1,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus dodgei,Crataegus dodgei,NA,Y,Y,,Y,G4,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus douglasii,Crataegus douglasii,NA,Y,Y,,Y,G5,NNR,,19,12,7,5,5,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus enderbyensis,Crataegus enderbyensis,NA,Y,Y,,Y,G3,N3,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus flabellata,Crataegus flabellata,NA,Y,Y,,Y,G4,N4,,9,1,8,8,0,8,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus florifera,Crataegus florifera,NA,Y,Y,,Y,G3,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus fluviatilis,Crataegus fluviatilis,NA,Y,Y,,Y,G3,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus formosa,Crataegus formosa,NA,Y,Y,,Y,G2,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus gaylussacia,Crataegus gaylussacia,NA,Y,Y,,Y,G4,N5,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus holmesiana,Crataegus holmesiana,NA,Y,Y,,Y,G5,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus intricata,Crataegus intricata,NA,Y,Y,,Y,G5,NH,,14,0,14,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus irrasa,Crataegus irrasa,NA,Y,Y,,Y,G4,NNR,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus jesupii,Crataegus jesupii,NA,Y,Y,,Y,G4,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus jonesiae,Crataegus jonesiae,NA,Y,Y,,Y,G4,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus knieskerniana,Crataegus knieskerniana,NA,Y,Y,,Y,G4,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus laevigata,Crataegus laevigata,NA,Y,Y,,Y,GNR,NNA,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus lemingtonensis,Crataegus lemingtonensis,NA,Y,Y,,Y,G4,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus lumaria,Crataegus lumaria,NA,Y,Y,,Y,G3,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus macracantha,Crataegus macracantha,NA,Y,Y,,Y,G5,N5,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus macrosperma,Crataegus macrosperma,NA,Y,Y,,Y,G5,N5,,8,1,7,1,1,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus magniflora,Crataegus magniflora,NA,Y,Y,,Y,G4,N3,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus margarettae,Crataegus margarettae,NA,Y,Y,N,N,G5,N1,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus margarettae var. angustifolia,Crataegus margarettae,NA,Y,Y,N,Y,TNR,N1,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,angustifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus margarettae var. margarettae,Crataegus margarettae,NA,Y,Y,N,Y,TNR,N1,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,margarettae,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus mollis,Crataegus mollis,NA,Y,Y,N,N,G5,N4,,70,66,4,48,47,1,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus mollis var. incisifolia,Crataegus mollis,NA,Y,Y,N,Y,TNR,NNR,,70,66,4,NA,NA,NA,Hawthorn,Crataegus,var.,incisifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus mollis var. mollis,Crataegus mollis,NA,Y,Y,N,Y,T5,N4,,70,66,4,NA,NA,NA,Hawthorn,Crataegus,var.,mollis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus nitidula,Crataegus nitidula,NA,Y,Y,,Y,G2,NH,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus okanaganensis,Crataegus okanaganensis,NA,Y,Y,N,N,G4,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus okanaganensis var. okanaganensis,Crataegus okanaganensis,NA,Y,Y,N,Y,TNR,N3,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,okanaganensis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus okanaganensis var. wellsii,Crataegus okanaganensis,NA,Y,Y,N,Y,TNR,N3,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,wellsii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus okennonii,Crataegus okennonii,NA,Y,Y,,Y,G3,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus orbicularis,Crataegus orbicularis,NA,Y,Y,,Y,G3,N3,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus pennsylvanica,Crataegus pennsylvanica,NA,Y,Y,,Y,G3,NU,,1,0,1,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus perjucunda,Crataegus perjucunda,NA,Y,Y,,Y,G1,N1,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus persimilis,Crataegus persimilis,NA,Y,Y,,Y,G5,N1,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus phippsii,Crataegus phippsii,NA,Y,Y,,Y,G2,N3,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus populnea,Crataegus populnea,NA,Y,Y,,Y,G5,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus prona,Crataegus prona,NA,Y,Y,,Y,G4,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus pruinosa,Crataegus pruinosa,NA,Y,Y,N,N,G5,N5,,10,2,8,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus pruinosa var. dissona,Crataegus pruinosa,NA,Y,Y,N,Y,TNR,N3,,10,2,8,NA,NA,NA,Hawthorn,Crataegus,var.,dissona,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus pruinosa var. parvula,Crataegus pruinosa,NA,Y,Y,N,Y,TNR,N4,,10,2,8,NA,NA,NA,Hawthorn,Crataegus,var.,parvula,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus pruinosa var. pruinosa,Crataegus pruinosa,NA,Y,Y,N,Y,T5,N4,,10,2,8,NA,NA,NA,Hawthorn,Crataegus,var.,pruinosa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus pruinosa var. rugosa,Crataegus pruinosa,NA,Y,Y,N,Y,TNR,NNR,,10,2,8,NA,NA,NA,Hawthorn,Crataegus,var.,rugosa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus pruinosa var. virella,Crataegus pruinosa,NA,Y,Y,N,Y,TNR,NNR,,10,2,8,NA,NA,NA,Hawthorn,Crataegus,var.,virella,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus punctata,Crataegus punctata,NA,Y,Y,,Y,G5,N5,,32,28,4,13,13,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus purpurella,Crataegus purpurella,NA,Y,Y,,Y,GNR,NNR,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus rivuloadamensis,Crataegus rivuloadamensis,NA,Y,Y,,Y,G2,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus rivulopugnensis,Crataegus rivulopugnensis,NA,Y,Y,,Y,G1,N1,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus rubribracteolata,Crataegus rubribracteolata,NA,Y,Y,,Y,G2,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus scabrida,Crataegus scabrida,NA,Y,Y,N,N,G5,N4,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus scabrida var. asperifolia,Crataegus scabrida,NA,Y,Y,N,Y,TNR,N1,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,asperifolia,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus scabrida var. cyclophylla,Crataegus scabrida,NA,Y,Y,N,Y,TNR,N2,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,cyclophylla,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus scabrida var. egglestonii,Crataegus scabrida,NA,Y,Y,N,Y,TNR,NNR,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,egglestonii,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus scabrida var. scabrida,Crataegus scabrida,NA,Y,Y,N,Y,TNR,N3,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,scabrida,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus schuettei,Crataegus schuettei,NA,Y,Y,N,N,G5,N4,,3,3,0,3,3,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus schuettei var. schuettei,Crataegus schuettei,NA,Y,Y,N,Y,T5,N4,,3,3,0,NA,NA,NA,Hawthorn,Crataegus,var.,schuettei,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus sheila-phippsiae,Crataegus sheila-phippsiae,NA,Y,Y,N,N,G3,N3,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus sheila-phippsiae var. saskatchewanensis,Crataegus sheila-phippsiae,NA,Y,Y,N,Y,TNR,NNR,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,saskatchewanensis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus sheila-phippsiae var. sheila-phippsiae,Crataegus sheila-phippsiae,NA,Y,Y,N,Y,T3,N3,,0,0,0,NA,NA,NA,Hawthorn,Crataegus,var.,sheila-phippsiae,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus sheridana,Crataegus sheridana,NA,Y,Y,,Y,GNR,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus shuswapensis,Crataegus shuswapensis,NA,Y,Y,,Y,G3,N3,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus stolonifera,Crataegus stolonifera,NA,Y,Y,,Y,GNR,NU,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus submollis,Crataegus submollis,NA,Y,Y,,Y,G5,N5,,1,1,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus suborbiculata,Crataegus suborbiculata,NA,Y,Y,,Y,G3,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus succulenta,Crataegus succulenta,NA,Y,Y,N,N,G5,N5,,56,54,2,35,35,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus succulenta var. gemmosa,Crataegus succulenta,NA,Y,Y,N,Y,NA,NA,,56,54,2,NA,NA,NA,Hawthorn,Crataegus,var.,gemmosa,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus succulenta var. michiganensis ,Crataegus succulenta,NA,Y,Y,N,Y,TNR,NNR,,56,54,2,NA,NA,NA,Hawthorn,Crataegus,var.,michiganensis,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus succulenta var. succulenta ,Crataegus succulenta,NA,Y,Y,N,Y,T5,N5,,56,54,2,NA,NA,NA,Hawthorn,Crataegus,var.,succulenta,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus ursopedensis,Crataegus ursopedensis,NA,Y,Y,,Y,GNR,N1,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Dasiphora fruticosa,Dasiphora fruticosa,1,Y,N,,Y,G5,N5,,100,89,11,13,13,0,Strawberry,Dasiphora,NA,NA,,Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Daucus pusillus,Daucus pusillus,1,Y,Y,,Y,G5,N5,,43,0,43,0,0,0,Carrot,Daucus,NA,NA,american wild carrot; roots,Y,Food,,NA,Vegetables,,,NA,Tertiary,1C
Dicentra formosa,Dicentra formosa,2,Y,N,,Y,G5,N5,,12,8,4,0,0,0,Bleeding-Heart,Dicentra,NA,NA,,Y,Ornamentals,,NA,Ornamentals,,,NA,NA,2
Dichanthelium boreale,Dichanthelium boreale,1,Y,N,,Y,G5,NNR,,0,0,0,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium clandestinum,Dichanthelium clandestinum,1,Y,N,,Y,G5,N3,,30,1,29,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium depauperatum,Dichanthelium depauperatum,1,Y,N,,Y,G5,N5,,1,0,1,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium dichotomum,Dichanthelium dichotomum,1,Y,N,Y,N,G5,NNR,,1,0,1,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium dichotomum subsp. dichotomum,Dichanthelium dichotomum,1,Y,N,Y,Y,NA,NA,,1,0,1,0,0,0,Proso-millet,Dichanthelium,var.,dichotomum,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium latifolium,Dichanthelium latifolium,1,Y,N,,Y,G5,N4,,2,0,2,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium leibergii,Dichanthelium leibergii,1,Y,N,,Y,G4,N3,,2,0,2,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium linearifolium,Dichanthelium linearifolium,1,Y,N,,Y,G5,NNR,,1,0,1,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium sphaerocarpon,Dichanthelium sphaerocarpon,1,Y,N,,Y,T5,N3,,0,0,0,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,Na,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium wilcoxianum,Dichanthelium wilcoxianum,1,Y,N,,Y,G5,N2,,0,0,0,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Dichanthelium xanthophysum,Dichanthelium xanthophysum,1,Y,N,,Y,G5,N4,,0,0,0,0,0,0,Proso-millet,Dichanthelium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Diervilla lonicera,Diervilla lonicera,2,Y,N,,Y,G5,N5,,55,26,29,10,9,1,Bush-honeysuckle,Diervilla,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Dioscorea villosa,Dioscorea villosa,1,Y,Y,,Y,G4,N4,,1,0,1,0,0,0,Yam,Dioscorea,NA,NA,"wild yam, atlantci yam; roots",Y,Food,,NA,Vegetables,,,NA,Assume distant,1C
Drymocallis glandulosa,Drymocallis glandulosa,1,Y,N,Y,N,G5,N5,,31,0,31,0,0,0,Strawberry,Drymocallis,NA,NA,,Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Drymocallis glandulosa var. glandulosa,Drymocallis glandulosa,1,Y,N,Y,Y,T5,N5,,31,0,31,0,0,0,Strawberry,Drymocallis,var.,glandulosa,,Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Elaeagnus commutata,Elaeagnus commutata,2,Y,N,,Y,G5,N5,,21,20,1,4,3,1,Wolf-willow,Elaeagnus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Elymus alaskanus,Elymus alaskanus,1,Y,N,Y,N,G5,NNR,,4,0,4,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus alaskanus subsp. alaskanus,Elymus alaskanus,1,Y,N,Y,Y,T4,N4,,4,0,4,0,0,0,Wheat,Elymus,subsp.,alaskanus,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
Elymus albicans,Elymus albicans,1,Y,N,,Y,G5,N5,,1,0,1,0,0,0,Wheat,Elymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,Forage and Feed,,NA,Tertiary,1C
