"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"98","Viburnum rafinesqueanum","Highbush cranberry","Viburnum","Viburnum rafinesqueanum",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",9,2,7
"99","Erythronium oregonum","Fawn-Lily","Erythronium","Erythronium oregonum",NA,NA,"Y","Y","N","bulbs","Y","Food","Ornamentals",NA,"Vegetables","Ornamentals","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",11,11,0
"100","Gaillardia aristata","Blanket-Flower","Gaillardia","Gaillardia aristata",NA,NA,"Y","Y","N","","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","",17,6,11
"101","Salix sitchensis","Willow","Salix","Salix sitchensis",NA,NA,"Y","Y","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,3,1
"102","Tsuga mertensiana","Hemlock","Tsuga","Tsuga mertensiana",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",27,17,10
"103","Larix occidentalis","Larch","Larix","Larix occidentalis",NA,NA,"Y","Y","Y","western larch; gum, inner bark, sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",17,2,15
"104","Abies amabilis","Fir","Abies","Abies amabilis",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",26,16,10
"105","Rosa gymnocarpa","Rose","Rosa","Rosa gymnocarpa",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",11,7,4
"106","Picea sitchensis","Spruce","Picea","Picea sitchensis",NA,NA,"Y","Y","Y","gum, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",56,25,31
"107","Viburnum edule","Highbush cranberry","Viburnum","Viburnum edule",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",2,2,0
"108","Dicentra formosa","Bleeding-Heart","Dicentra","Dicentra formosa",NA,NA,"Y","Y","N","","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","","",12,8,4
"109","Hosackia gracilis","Trefoil","Hosackia","Hosackia gracilis",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",4,3,1
"110","Larix lyallii","Larch","Larix","Larix lyallii",NA,NA,"Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,1,0
"111","Tsuga heterophylla","Hemlock","Tsuga","Tsuga heterophylla",NA,NA,"Y","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",23,11,12
"112","Tradescantia virginiana","Spiderwort","Tradescantia","Tradescantia virginiana",NA,NA,"Y","Y","N","","N","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","",3,2,1
"113","Bromus vulgaris","Bromegrass","Bromus","Bromus vulgaris",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",4,1,3
"114","Pinus albicaulis","Pine","Pinus","Pinus albicaulis",NA,NA,"Y","Y","Y","seeds, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1140,1,1139
"115","Rosa nitida","Rose","Rosa","Rosa nitida",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,3,0
"116","Astragalus americanus","Milk-vetch","Astragalus","Astragalus americanus",NA,NA,"Y","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",3,1,2
"117","Agrostis perennans","Bentgrass","Agrostis","Agrostis perennans",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",3,0,3
"118","Agrostis scabra","Bentgrass","Agrostis","Agrostis scabra",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",15,0,15
"119","Astragalus flexuosus","Milk-vetch","Astragalus","Astragalus flexuosus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",3,0,3
"120","Bromus carinatus","Bromegrass","Bromus","Bromus carinatus",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",47,0,47
"121","Bromus ciliatus","Bromegrass","Bromus","Bromus ciliatus",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",19,0,19
"122","Bromus inermis","Bromegrass","Bromus","Bromus inermis",NA,NA,"Y","Y","N","","N","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",85,0,85
"123","Bromus porteri","Bromegrass","Bromus","Bromus porteri",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",1,0,1
