"","TAXON","Verified","Pasted_NPGS","Pasted.PGRC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","GENUS","SPECIES","RANK","INFRASPECIFC"
"641","Ribes oxyacanthoides subsp. oxyacanthoides","y","y",NA,"Currant, Gooseberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Progenitor","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Ribes","Ribes oxyacanthoides","subsp.","oxyacanthoides"
"642","Ribes oxyacanthoides subsp. setosum","y","y",NA,"Currant, Gooseberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Ribes","Ribes oxyacanthoides","subsp.","setosum"
"643","Ribes sanguineum","y","y",NA,"Currant, Gooseberry","N","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","Growth Habit (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Ribes","Ribes sanguineum",NA,NA
"644","Ribes sanguineum var. sanguineum","y","y",NA,"Currant, Gooseberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Ribes","Ribes sanguineum","var.","sanguineum"
"645","Ribes triste","y","y",NA,"Currant, Gooseberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","Cold Tolerance (AB)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Ribes","Ribes triste",NA,NA
"646","Ribes viscosissimum","y","y",NA,"Currant, Gooseberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Ribes","Ribes viscosissimum",NA,NA
"647","Rorippa aquatica","y","y",NA,"Horseradish","Y","N","Y","horseradish; condiment","Y","","Food",NA,"Herbs and Spices","","",NA,2,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rorippa","Rorippa aquatica",NA,NA
"648","Rosa acicularis","y","y",NA,"Rose","N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa acicularis",NA,NA
"649","Rosa acicularis subsp. sayi","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa acicularis","subsp.","sayi"
"650","Rosa arkansana","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa arkansana",NA,NA
"651","Rosa blanda","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa blanda",NA,NA
"652","Rosa carolina","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa carolina",NA,NA
"653","Rosa carolina subsp. carolina","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Rosa","Rosa carolina","subsp.","carolina"
"654","Rosa carolina subsp. subserrulata","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Rosa","Rosa carolina","subsp.","subserrulata"
"655","Rosa gymnocarpa","y","y",NA,"Rose","N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa gymnocarpa",NA,NA
"656","Rosa gymnocarpa var. gymnocarpa","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa gymnocarpa","var.","gymnocarpa"
"657","Rosa nitida","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa nitida",NA,NA
"658","Rosa nutkana","y","y",NA,"Rose","N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa nutkana",NA,NA
"659","Rosa nutkana subsp. macdougalii","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa nutkana","subsp.","macdougalii"
"660","Rosa nutkana subsp. nutkana","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa nutkana","subsp.","nutkana"
"661","Rosa palustris","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa palustris",NA,NA
"662","Rosa pisocarpa","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa pisocarpa",NA,NA
"663","Rosa setigera","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa setigera",NA,NA
"664","Rosa virginiana","y","y",NA,"Rose","N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa virginiana",NA,NA
"665","Rosa virginiana subsp. virginiana","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa virginiana","subsp.","virginiana"
"666","Rosa woodsii","y","y",NA,"Rose","N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa woodsii",NA,NA
"667","Rosa woodsii subsp. ultramontana","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa woodsii","subsp.","ultramontana"
"668","Rosa woodsii subsp. woodsii","y","y",NA,"Rose","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rosa","Rosa woodsii","subsp.","woodsii"
"669","Rubus ×paracaulis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus ×paracaulis",NA,NA
"670","Rubus ×setosus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus ×setosus",NA,NA
"671","Rubus allegheniensis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","Growth Habit (AG)","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus allegheniensis",NA,NA
"672","Rubus arcticus","y","y",NA,"Blackberry, Raspberry","N","Y","Y","Nagoonberry; fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","High Yield (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus arcticus",NA,NA
"673","Rubus arcticus subsp. acaulis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","Nagoonberry","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus arcticus","subsp.","acaulis"
"674","Rubus arcticus subsp. arcticus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","Nagoonberry","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus arcticus","subsp.","arcticus"
"675","Rubus arcticus subsp. stellatus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","Nagoonberry","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus arcticus","subsp.","stellatus"
"676","Rubus canadensis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus canadensis",NA,NA
"677","Rubus chamaemorus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus chamaemorus",NA,NA
"678","Rubus flagellaris","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","Northern dewberry","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus flagellaris",NA,NA
"679","Rubus idaeus","y","y",NA,"Blackberry, Raspberry","N","Y","Y","fruit, shoots, leaves for tea","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus idaeus",NA,NA
"680","Rubus idaeus subsp. idaeus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit, shoots, leaves for tea","N","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus idaeus","subsp.","idaeus"
"681","Rubus idaeus subsp. strigosus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit, shoots, leaves for tea","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus idaeus","subsp.","strigosus"
"682","Rubus lasiococcus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus lasiococcus",NA,NA
"683","Rubus leucodermis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit, shoots","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus leucodermis",NA,NA
"684","Rubus nivalis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus nivalis",NA,NA
"685","Rubus nutkanus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus nutkanus",NA,NA
"686","Rubus occidentalis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit, greens, shoots]","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus occidentalis",NA,NA
"687","Rubus odoratus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","","High Yield (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus odoratus",NA,NA
"688","Rubus pedatus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus pedatus",NA,NA
"689","Rubus pensilvanicus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus pensilvanicus",NA,NA
"690","Rubus ×recurvicaulis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Rubus","Rubus ×recurvicaulis",NA,NA
"691","Rubus spectabilis","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit, shoots","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus spectabilis",NA,NA
"692","Rubus ursinus","y","y",NA,"Blackberry, Raspberry","Y","Y","Y","fruit, leaves as tea","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Rubus","Rubus ursinus",NA,NA
"693","Rumex occidentalis","y","y",NA,"Dock","Y","N","Y","","Y","","Food",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Rumex","Rumex occidentalis",NA,NA
"694","Sagittaria latifolia","y","y",NA,"Arrowshead","Y","N","Y","","Y","","Food",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sagittaria","Sagittaria latifolia",NA,NA
"695","Salix arctica","y","y",NA,"Willow","Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix arctica",NA,NA
"696","Salix arctophila","y","y",NA,"Willow","Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix arctophila",NA,NA
"697","Salix barclayi","y","y",NA,"Willow","Y","Y","Y","greens","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix barclayi",NA,NA
"698","Salix exigua","y","y",NA,"Willow","Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix exigua",NA,NA
"699","Salix lucida","y","y",NA,"Willow","N","Y","Y","","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix lucida",NA,NA
"700","Salix lucida subsp. lasiandra","y","y",NA,"Willow","Y","Y","Y","","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix lucida","subsp.","lasiandra"
"701","Salix planifolia","y","y",NA,"Willow","Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix planifolia",NA,NA
"702","Salix pulchra","y","y",NA,"Willow","Y","Y","Y","buds, leaves, shoots","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix pulchra",NA,NA
"703","Salix reticulata","y","y",NA,"Willow","Y","Y","Y","greens","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix reticulata",NA,NA
"704","Salix richardsonii","y","y",NA,"Willow","Y","Y","Y","buds, leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix richardsonii",NA,NA
"705","Salix scouleriana","y","y",NA,"Willow","Y","Y","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix scouleriana",NA,NA
"706","Salix sitchensis","y","y",NA,"Willow","Y","Y","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Salix","Salix sitchensis",NA,NA
"707","Sambucus caerulea","y","y",NA,"Elderberry","Y","Y","Y","fruit, flowers (as WUS not as CWR, CWR assigned for ornamental value)","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Sambucus","Sambucus caerulea",NA,NA
"708","Sambucus canadensis","y","y",NA,"Elderberry","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Sambucus","Sambucus canadensis",NA,NA
"709","Sambucus racemosa","y","y",NA,"Elderberry","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Sambucus","Sambucus racemosa",NA,NA
"710","Sanicula marilandica","y","y",NA,"Sanicula","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sanicula","Sanicula marilandica",NA,NA
"711","Schizachyrium scoparium","y","y",NA,"Bluestem","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Schizachyrium","Schizachyrium scoparium",NA,NA
"712","Schizachyrium scoparium subsp. scoparium","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Schizachyrium","Schizachyrium scoparium","subsp.","scoparium"
"713","Schoenoplectus acutus","y","y",NA,"Tule","N","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Schoenoplectus","Schoenoplectus acutus",NA,NA
"714","Schoenoplectus acutus var. acutus","y","y",NA,"Tule","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Schoenoplectus","Schoenoplectus acutus","var.","acutus"
"715","Schoenoplectus acutus var. occidentalis","y","y",NA,"Tule","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Schoenoplectus","Schoenoplectus acutus","var.","occidentalis"
"716","Sedum divergens","y","y",NA,"Sedum","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sedum","Sedum divergens",NA,NA
"717","Sedum oreganum","y","y",NA,"Sedum","N","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sedum","Sedum oreganum",NA,NA
"718","Sedum oreganum subsp. oreganum","y","y",NA,"Sedum","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sedum","Sedum oreganum","subsp.","oreganum"
"719","Sedum oreganum subsp. tenue","y","y",NA,"Sedum","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sedum","Sedum oreganum","subsp.","tenue"
"720","Sedum spathulifolium","y","y",NA,"Sedum","N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sedum","Sedum spathulifolium",NA,NA
"721","Sedum spathulifolium var. pruinosum","y","y",NA,"Sedum","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sedum","Sedum spathulifolium","var.","pruinosum"
"722","Shepherdia argentea","y","y",NA,"Buffaloberry","Y","N","Y","fruit","Y","Food","Food",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Shepherdia","Shepherdia argentea",NA,NA
"723","Shepherdia canadensis","y","y",NA,"Buffaloberry","Y","N","Y","fruit","Y","Food","Food",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Shepherdia","Shepherdia canadensis",NA,NA
"724","Silphium integrifolium","y","y",NA,"Rosinweed","N","Y","Y","potential as an oilseed crop (see Reinert 2019)","N","Food","Medicinals",NA,"Oils","Medicinals","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Silphium","Silphium integrifolium",NA,NA
"725","Silphium integrifolium var. laeve","y","y",NA,"Rosinweed","Y","Y","Y","potential as an oilseed crop (see Reinert 2019)","N","Food","Medicinals",NA,"Oils","Medicinals","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Silphium","Silphium integrifolium","var.","laeve"
"726","Silphium perfoliatum","y","y",NA,"Rosinweed","N","Y","Y","potential as an oilseed crop (see Reinert 2019)","Y","Food","Medicinals",NA,"Oils","Medicinals","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Silphium","Silphium perfoliatum",NA,NA
"727","Silphium perfoliatum var. perfoliatum","y","y",NA,"Rosinweed","Y","Y","Y","potential as an oilseed crop (see Reinert 2019)","Y","Food","Medicinals",NA,"Oils","Medicinals","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Silphium","Silphium perfoliatum","var.","perfoliatum"
"728","Malus fusca","y","y",NA,"Apple","Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1A","Graftstock","","","Disease Resistance (B)","","Gene Transfer (F)","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Malus","Malus fusca",NA,NA
"729","Sium suave","y","y",NA,"Water-parsnip","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sium","Sium suave",NA,NA
"730","Sorbus americana","y","y",NA,"Rowan","Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sorbus","Sorbus americana",NA,NA
"731","Sorbus decora","y","y",NA,"Rowan","Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sorbus","Sorbus decora",NA,NA
"732","Sorbus scopulina","y","y",NA,"Rowan","Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sorbus","Sorbus scopulina",NA,NA
"733","Sorbus sitchensis","y","y",NA,"Rowan","N","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sorbus","Sorbus sitchensis",NA,NA
"734","Sorbus sitchensis var. grayi","y","y",NA,"Rowan","Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Sorbus","Sorbus sitchensis","var.","grayi"
