PRIMARY_ASSOCIATED_CROP_COMMON_NAME,TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,ROUNDED_G_RANK,ROUNDED_N_RANK,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION,COSEWIC_DESC,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE
Sunflower,Helianthus pauciflorus subsp. pauciflorus,Helianthus,Helianthus pauciflorus,subsp.,pauciflorus,T5,NU,"AB(SU), MB(SU), ON(SNA)","AR(S1), CT(SNR), GA(SNR), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(SNR), MA(SNR), ME(SNR), MN(SNR), MO(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNA), NY(SNR), OK(SNR), RI(SNR), SD(SNR), TX(SNR), VA(SNA), VT(SNR), WI(SNR)",,Y,Y,N,,Y,Food,,NA,Oils,Vegetables,,NA,1,Tertiary,1C,,,,Disease Resistance (B),,,Crop Quality (AG),,,Early Maturity (P),GRIN-Global 2021,GRIN-Global 2021,
Sunflower,Helianthus pauciflorus subsp. subrhomboideus,Helianthus,Helianthus pauciflorus,subsp.,subrhomboideus,T5,N4,"AB(SU), BC(SNA), MB(S3S4), ON(S2S3), QC(S3), SK(S4), YT(SNA)","CO(SNR), CT(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), ND(SNR), NE(SNR), NH(SNR), NM(SNR), NY(SNR), PA(SNR), SD(SNR), TX(SNR), WI(SNR), WY(S3)",,Y,Y,N,,Y,Food,,NA,Oils,Vegetables,,NA,1,Tertiary,1C,,,,,,Cytoplasmic Male Sterility (F),,,,,GRIN-Global 2021,GRIN-Global 2021,
Sunflower,Helianthus petiolaris,Helianthus,Helianthus petiolaris,NA,NA,G5,N4,"AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), IA(S4), ID(SNR), IL(SNA), IN(SNR), KS(SNR), LA(SNR), MA(SNR), ME(SNR), MI(SNA), MN(SNR), MO(SNR), MT(S4), NC(SNA), ND(SNR), NE(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(S4)","AB(S3), MB(S3), ON(SNA), SK(S4)",,N,Y,N,,Y,Food,,NA,Oils,Vegetables,,NA,1,Secondary,1B,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,GRIN-Global 2021,GRIN-Global 2021,
Sunflower,Helianthus petiolaris subsp. petiolaris,Helianthus,Helianthus petiolaris,subsp.,petiolaris,T5,N5,"AB(S3), MB(S3), ON(SNA), SK(S4)","AR(SNR), CA(SNR), CO(SNR), CT(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNA), LA(SNR), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), NC(SNA), ND(SNR), NE(SNR), NJ(SNA), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNA), SC(SNR), SD(SNR), TX(SNR), VA(SNA), VT(SNR), WA(SNR), WI(SNR), WV(SNR), WY(S4)",,Y,Y,N,,Y,Food,,NA,Oils,Vegetables,,NA,1,Secondary,1B,,,,Disease Resistance (B),,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Sunflower,Helianthus strumosus,Helianthus,Helianthus strumosus,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SH), FL(SNR), GA(SNR), IA(S5), IL(SNR), IN(SNR), KS(S2), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), ND(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNA), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(S2S3), WI(SNR), WV(S5)","ON(S5), QC(S2?)",,Y,Y,N,,Y,Food,,Food,Oils,Vegetables,,Oils,1,Tertiary,1C,,,,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),,,,GRIN-Global 2021,GRIN-Global 2021,
Sunflower,Helianthus tuberosus,Helianthus,Helianthus tuberosus,NA,NA,G5,N3,"AL(SNR), AR(SNR), CO(SNA), CT(SNR), DC(SNR), DE(SNA), FL(SNR), GA(SNR), GS(P1), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNA), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNA), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(SNR), OH(SNR), OK(SNR), PA(SNA), RI(SNA), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S5), WY(S1?)","BC(SNA), MB(S3S4), NB(SNA), NS(SNA), ON(SU), ON(SU), PE(SNA), QC(SNA), SK(S2)",,Y,Y,Y,jerusalem artichoke; tubers,Y,Food,,Food,Oils,Vegetables,,Oils,1,Progenitor,1A,,Drought Resistance (AB),,Disease Resistance (B),Pest Resistance (B),Cytoplasmic Male Sterility (F),Crop Quality (AG),Growth Habit (AG),,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Cow-parsnip,Heracleum sphondylium,Heracleum,Heracleum maximum,NA,NA,G5,N5,"AB(S5), BC(S5), LB(S3S4), MB(S4S5), NB(S5), NF(S5), NS(S5), NT(S4), ON(S5), PE(S4), QC(S5), SK(S4), YT(S4)","AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(S3), GA(S1), GS(P2), IA(S5), ID(SNR), IL(SNR), IN(SNR), KS(S1), KY(SH), MA(SNR), MD(S3), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S4), NC(S3), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NM(SNR), NV(SNR), NY(S4), OH(SNR), OR(SNR), PA(S4), RI(SNR), SD(SNR), TN(S2), TV(SNR), UT(SNR), VA(S5), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S4)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,
Heuchera,Heuchera chlorantha,Heuchera,Heuchera chlorantha,NA,NA,G4,N4,"CA(SNR), ID(SNR), OR(SNR), WA(SNR)",BC(S4),,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Oceanspray,Holodiscus discolor,Holodiscus,Holodiscus discolor,NA,NA,G5,N5,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NM(SNR), NV(SNR), OR(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S3)",BC(S5),,N,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Oceanspray,Holodiscus discolor var. discolor,Holodiscus,Holodiscus discolor,var.,discolor,G5,N5,"AZ(SNR), CA(SNR), ID(SNR), MT(S5), NV(SNR), OR(SNR), TX(SNR), UT(SNR), WA(SNR), WY(SNR)",BC(S5),,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides,Honckenya,Honckenya peploides,NA,NA,G5,N5,"AK(SNR), CT(S3), DE(SH), MA(SNR), MD(S1), ME(SNR), NH(SNR), NJ(SNR), NY(SNR), OR(SNR), RI(SNR), SD(SNR), VA(SH), WA(SNR)","BC(S5), LB(S4S5), MB(S2?), NB(S4), NF(S5), NS(S5), NT(SNR), NU(SU), ON(S4), PE(S2S3), QC(SNR), YT(S3)",,N,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides subsp. diffusa,Honckenya,Honckenya peploides,subsp.,diffusa,T5,N4,"LB(S3), MB(S2?), NF(SNR), NT(SNR), NU(SNR), ON(S4), QC(S4), YT(S3)",AK(SNR),,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides subsp. major,Honckenya,Honckenya peploides,subsp.,major,T5,N5,BC(S5),"AK(SNR), OR(SNR), WA(SNR)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sea-sandwort,Honckenya peploides subsp. robusta,Honckenya,Honckenya peploides,subsp.,robusta,T5,N5,"LB(S3), NB(S4), NF(S5), NS(S5), NU(SNR), PE(S2S3), QC(S3S4)","CT(SNR), DE(SH), MA(SNR), MD(SNR), ME(SNR), NH(SX), NJ(S1), NY(S3), RI(S2), SD(SNR), VA(SH)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Barley,Hordeum brachyantherum,Hordeum,Hordeum brachyantherum,NA,NA,G5,N5,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), DE(SNA), GA(SNR), ID(SNR), IL(SNA), IN(SNR), ME(SNR), MO(SNR), MS(SNR), MT(S4), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNA), OR(SNR), PA(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S4)","AB(S3), BC(S5), LB(S1S2), NF(S2), NS(S1), QC(SNR), SK(S1), YT(SNA)",,N,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Barley,Hordeum brachyantherum subsp. brachyantherum,Hordeum,Hordeum brachyantherum,subsp.,brachyantherum,NA,NA,NA,NA,,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Barley,Hordeum depressum,Hordeum,Hordeum depressum,NA,NA,G5,NNA,"CA(SNR), ID(SNR), OR(SNR), WA(SNR)",BC(SNA),,Y,Y,N,,N,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Barley,Hordeum jubatum,Hordeum,Hordeum jubatum,NA,NA,G5,N5,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SNA), IA(S5), ID(SNR), IL(S4S5), IN(SNR), KS(SNR), KY(SNA), MA(SNR), MD(SNR), ME(SNR), MI(SNA), MN(SNR), MO(SNR), MS(SNR), MT(S5), NC(SNA), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), UT(SNR), VA(S1), VT(SNR), WA(SNR), WI(SNR), WV(SNA), WY(S5)","AB(S5), BC(S5), LB(S2S3), MB(S5), NB(S5), NF(S2S3), NS(S5), NT(S4), NU(S4), ON(S5?), ON(S5?), PE(S4), QC(SNR), SK(S5), YT(S5)",,N,Y,Y,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Barley,Hordeum jubatum subsp. intermedium,Hordeum,Hordeum jubatum,subsp.,intermedium,NA,NA,NA,NA,,Y,Y,Y,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Barley,Hordeum jubatum subsp. jubatum,Hordeum,Hordeum jubatum,subsp.,jubatum,NA,NA,NA,NA,,Y,Y,Y,foxtail barley; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Barley,Hordeum pusillum,Hordeum,Hordeum pusillum,NA,NA,G5,NH,"AL(SNR), AR(SNR), AZ(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P1), IA(SNA), ID(SNR), IL(S5), IN(SNR), KS(SNR), KY(SNA), LA(SNR), MD(SNR), ME(SNR), MI(SNA), MN(SNR), MO(SNR), MS(SNR), MT(S4), NC(S5), ND(S3), NE(SNR), NJ(SNA), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SH), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S5), WA(SNR), WV(SH), WY(S3)","AB(SH), ON(SNA)",DD - Data Deficient  (DD) / Données insuffisantes (DI),Y,Y,N,,N,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Trefoil,Hosackia gracilis,Hosackia,Hosackia gracilis,NA,NA,G4,N2,"CA(S3), OR(SNR), WA(SNR)",BC(S2),E - Endangered (E) / En voie de disparition (VD),Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Trefoil,Hosackia pinnata,Hosackia,Hosackia pinnata,NA,NA,G4,N2,"CA(SNR), ID(SNR), OR(SNR), WA(SNR)",BC(S2?),E - Endangered (E) / En voie de disparition (VD),Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Hops,Humulus lupulus,Humulus,Humulus lupulus,NA,NA,G5,N5,"AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(SU), FL(SNR), GA(SNR), IA(SNA), ID(SNR), IL(S3S4), IN(SNR), KS(SNR), KY(SNA), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNA), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNA), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(S4), VT(SNR), WA(SNA), WI(SNR), WV(S4), WY(S3)","AB(SU), BC(SNA), MB(S4), NB(SU), NF(S1), NS(SU), ON(SU), ON(SU), PE(SNR), QC(SNR), SK(S5)",,N,Y,Y,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Hops,Humulus lupulus var. lupuloides,Humulus,Humulus lupulus,var.,lupuloides,T5,N5,"CT(SNR), DE(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S3?), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(S1?), ND(SNR), NE(SNR), NH(SNR), NJ(S3S4), NY(S3?), OH(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), UT(SNR), VA(S4), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(SNR)","AB(SU), MB(S4), NB(S2?), NF(S1), NS(S1?), ON(SU), PE(SU), QC(SU), SK(S3)",,Y,Y,Y,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,1,Primary,1A,,,,Disease Resistance (B),,,Crop Quality (AG),,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Winterberry,Ilex mucronata,Ilex,Ilex mucronata,NA,NA,NA,NA,NA,NA,,Y,Y,N,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2021,,
Winterberry,Ilex verticillata,Ilex,Ilex verticillata,NA,NA,NA,NA,NA,NA,,Y,Y,N,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2021,,
Walnut,Juglans cinerea,Juglans,Juglans cinerea,NA,NA,G3,N2,"AL(S1), AR(S3), CT(SNR), DC(S1), DE(S3), GA(S2), GS(P2), IA(SU), IL(S2), IN(S2), KY(S2S3), MA(S4?), MD(S2S3), ME(SU), MI(S3), MN(S1), MO(SU), MS(S2), NC(S2S3), NE(S1), NH(S3), NJ(S1?), NY(S4), OH(S4), PA(S4), SC(S2), TN(S3), TV(SNR), VA(S3?), VT(S3?), VT(S3?), WA(SNA), WI(S2S3), WV(S2)","MB(SNA), NB(S1), NS(SNA), ON(S2?), PE(SNA), QC(S1)",E - Endangered (E) / En voie de disparition (VD),Y,Y,Y,butternut; nut,Y,Food,Materials,NA,Nuts,Materials,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Walnut,Juglans nigra,Juglans,Juglans nigra,NA,NA,G5,N4,"AL(S3S4), AR(SNR), CT(SU), DC(S5), DE(S5), FL(SNR), GA(SNR), GS(P3P4), IA(S5), IL(S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNA), MD(SNR), ME(SNA), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNA), SC(SNR), SD(S4?), TN(SNR), TX(SNR), UT(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5), WY(SNR)","MB(SNA), ON(S4?), QC(SNA)",,Y,Y,Y,black walnut; nut,Y,Food,Materials,NA,Nuts,Materials,Ornamentals,NA,1,Progenitor,1A,,,,Disease Resistance (B),,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Juniper,Juniperus communis,Juniperus,Juniperus communis,NA,NA,G5,N5,"AK(SNR), AL(S1), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNA), GA(S1), IA(S3), ID(SNR), IL(S2), IN(S3), KY(SNR), LA(SNR), MA(SNR), MD(SH), ME(SNR), MI(SNR), MN(SNR), MT(S5), NC(S1), ND(SNR), NE(S1), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(S2), OR(SNR), PA(S1S2), RI(SNR), SC(SNR), SD(SNR), TV(SNR), UT(SNR), VA(S1), VT(S5), WA(SNR), WI(SNR), WV(S2), WY(S5)","AB(S5), BC(S5), LB(S4S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(S5), NU(S3S4), ON(S5), PE(S3S4), QC(SNR), SK(S4), YT(S5)",,N,N,Y,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Juniper,Juniperus communis var. charlottensis,Juniperus,Juniperus communis,var.,charlottensis,T3,N3,AK(SNR),BC(S3S4),,Y,N,Y,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Juniper,Juniperus communis var. depressa,Juniperus,Juniperus communis,var.,depressa,T5,N5,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), GA(S1), IA(SNR), ID(SNR), IL(S2), IN(S3), KY(S1), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(S1), ND(SNR), NE(SNR), NH(SNR), NJ(S1), NV(SNR), NY(S4), OH(SNR), OR(SNR), PA(S1S2), RI(SNR), SC(S1), SD(SNR), TV(SNR), UT(SNR), VA(S1), VT(S5), WA(SNR), WI(SNR), WV(S2), WY(S5)","AB(SU), BC(S5), LB(S4S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(S5), NU(S3), ON(S5), PE(S3S4), QC(S5), SK(S4), YT(S4S5)",,Y,N,Y,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Juniper,Juniperus communis var. megistocarpa,Juniperus,Juniperus communis,var.,megistocarpa,T3,N3,,"NB(SNR), NS(SNR), QC(S3)",,Y,N,Y,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Juniper,Juniperus communis var. saxatilis,Juniperus,Juniperus communis,var.,saxatilis,T5,N5,"CA(SNR), OR(SNR), WA(SNR)","AB(SU), YT(S4S5)",,Y,N,Y,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Juniper,Juniperus horizontalis,Juniperus,Juniperus horizontalis,NA,NA,G5,N5,"AK(S3), CT(SNR), IA(S1), IL(S1), IN(SX), MA(SNR), ME(SNR), MI(SNR), MN(S3), MT(S5), ND(SNR), NE(S1), NH(S1), NY(S1), SD(SNR), VT(S1), WI(SNR), WY(S3)","AB(S5), BC(S5), MB(S5), NB(S3S4), NF(S5), NS(S4), NT(S5), NU(S1S3), ON(S5), PE(S2), QC(S5?), SK(S5), YT(S4)",,Y,N,Y,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Juniper,Juniperus scopulorum,Juniperus,Juniperus scopulorum,NA,NA,G5,N4,"AZ(SNR), CO(SNR), ID(SNR), MT(S5), ND(SNR), NE(SNR), NM(SNR), NV(SNR), OK(S2), OR(S3), SD(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S5)","AB(S3), BC(S4), SK(S2)",,Y,N,Y,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Mountain-laurel,Kalmia angustifolia,Kalmia,Kalmia angustifolia,NA,NA,NA,NA,NA,NA,,N,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Mountain-laurel,Kalmia angustifolia var. angustifolia,Kalmia,Kalmia angustifolia,var.,angustifolia,NA,NA,NA,NA,,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Mountain-laurel,Kalmia microphylla,Kalmia,Kalmia microphylla,NA,NA,G5,N5,"AK(SNR), CA(SNR), CO(SNR), ID(SNR), MT(S4), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)","AB(S3S5), BC(S5), MB(S1), NT(SNR), ON(S2?), SK(SNR), YT(S4)",,N,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Mountain-laurel,Kalmia microphylla var. microphylla,Kalmia,Kalmia microphylla,var.,microphylla,T5,N4,"AK(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)","AB(SNR), BC(S5), MB(S1), NT(SNR), ON(S2?), SK(SNR), YT(SNR)",,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Mountain-laurel,Kalmia microphylla var. occidentalis,Kalmia,Kalmia microphylla,var.,occidentalis,TNR,N5,"AK(SNR), OR(SNR), WA(SNR)",BC(S5),,Y,N,Y,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Lettuce,Lactuca tatarica,Lactuca,Lactuca tatarica,NA,NA,NA,NA,NA,NA,,N,Y,Y,wilde lettuce; greens,Y,Food,,NA,Vegetables,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Lettuce,Lactuca tatarica subsp. pulchella,Lactuca,Lactuca tatarica,subsp.,pulchella,NA,NA,NA,NA,,Y,Y,Y,wilde lettuce; greens,Y,Food,,NA,Vegetables,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Larch,Larix laricina,Larix,Larix laricina,NA,NA,G5,N5,"AK(SNR), CT(SNR), IL(S2), IN(S2), MA(SNR), MD(S1), ME(SNR), MI(SNR), MN(SNR), NH(SNR), NJ(S3), NY(S5), OH(S3), PA(S4S5), RI(S1), VT(SNR), WI(SNR), WV(S1)","AB(S5), BC(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(S5), NU(S4), ON(S5), PE(S5), QC(S5), SK(S5), YT(S5)",,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Larch,Larix lyallii,Larix,Larix lyallii,NA,NA,G5,N5,"ID(SNR), MT(S4), WA(SNR)","AB(S4), BC(S5)",,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Larch,Larix occidentalis,Larix,Larix occidentalis,NA,NA,G5,N5,"ID(SNR), MT(S5), OR(S5), UT(SNA), WA(SNR), WY(SNA)","AB(S2), BC(S5)",,Y,Y,Y,"western larch; gum, inner bark, sap",Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
